input,name,quantity,unit,size,preparation,comment,purpose
4 tablespoons minced flat-leaf parsley,parsley,4,tablespoon,,,minced flat-leaf,
1 tablespoon minced lemon zest,lemon,1,tablespoon,,,minced zested,
1 tablespoon minced orange zest,orange,1,tablespoon,,,minced zested,
1 egg,egg,1,,,,,
1 cup milk,milk,1,cup,,,,
1/4 teaspoon chili-pepper sauce,chili-pepper sauce,0.25,teaspoon,,,,
1 cup flour,flour,1,cup,,,,
1/2 teaspoon salt,salt,0.5,teaspoon,,,,
1/4 teaspoon freshly ground black pepper,freshly ground black pepper,0.25,teaspoon,,,,
1 bunch parsley,parsley,1,bunch,,,,
"4 cups olive oil, for deep-fat frying",olive oil,4,cup,,,for deep-fat frying,
1 bunch parsley,parsley,1,bunch,,,,
1 shallot,shallot,1,,,,,
1/2 teaspoon kosher salt,kosher salt,0.5,teaspoon,,,,
1/4 teaspoon freshly ground black pepper,freshly ground black pepper,0.25,teaspoon,,,,
Dash of cayenne pepper,cayenne pepper,,dash,,,,
1/2 teaspoon fresh lemon juice,lemon juice,0.5,teaspoon,,,fresh,
1/2 pound sweet butter,sweet butter,0.5,pound,,,,
"2 pounds tart apples or crab apples, quartered, seeded but not peeled",apples,2,pound,,,"tart or crab apples, quartered, seeded but not peeled",
1 tablespoon rice-wine vinegar,rice-wine vinegar,1,tablespoon,,,,
"1 bunch parsley plus one cup parsley, minced",parsley,1,bunch,,,"plus one cup parsley, minced",
3 cups sugar,sugar,3,cup,,,,
2 teaspoons lemon zest,lemon,2,teaspoon,,,zested,
2 teaspoons olive oil,olive oil,2,teaspoon,,,,
8 ounces skinless boneless chicken breasts,chicken breasts,8,ounce,,,skinless boneless,
8 ounces whole onion or 7 ounces chopped (1 2/3 cups),onion,8,ounce,,,whole or 7 ounce chopped ( 1.667 cup),
1 clove garlic,garlic,1,clove,,,,
1/2 cup bulgur,bulgur,0.5,cup,,,,
1/8 teaspoon cardamom,cardamom,0.125,teaspoon,,,,
1/8 teaspoon coriander,coriander,0.125,teaspoon,,,,
1/8 teaspoon cumin,cumin,0.125,teaspoon,,,,
1 1/2 cups no-salt-added chicken stock,chicken stock,1.5,cup,,,no-salt-added,
1 lemon to yield 1/4 teaspoon grated rind and 1 teaspoon juice,lemon,1,,,,to yield 0.25 teaspoon grated rind and 1 teaspoon juice,
Few shakes salt,salt,1,teaspoon,,,Few shakes,
Freshly ground black pepper to taste,Freshly ground black pepper,,,,,to taste,
1 pound whole broccoli or 8 ounces florettes (3 1/2 to 4 cups),broccoli,1,pound,,,whole 8 ounce florettes ( 3.5-4 cup),
1 tablespoon sesame seeds,sesame seeds,1,tablespoon,,,,
Fresh or frozen ginger to yield 2 teaspoons coarsely grated,ginger,,,,,Fresh or frozen to yield 2 teaspoon coarsely grated,
1 teaspoon toasted sesame oil,sesame oil,1,teaspoon,,,toasted,
1 tablespoon dry sherry,dry sherry,1,teaspoon,,,,
1 teaspoon reduced-sodium soy sauce,soy sauce,1,teaspoon,,,reduced-sodium,
1 tablespoon olive oil,olive oil,1,tablespoon,,,,
"1 medium onion, peeled and diced",onion,1,medium,,,peeled and diced,
Tabasco sauce,Tabasco sauce,,,,,,
1/2 cup coarsely chopped cilantro,cilantro,0.5,cup,,,coarsely chopped,
1/4 teaspoon kosher salt,kosher salt,0.25,teaspoon,,,,
"1 1/2 pounds large shrimp, shelled and deveined",shrimp,1.5,pound,,,"large, shelled and deveined",
"4 large bananas, peeled and cut across into 1/2-inch-thick slices",bananas,4,large,,,peeled and cut across into 0.5-inch-thick slice,
"1 cup unsweetened coconut flakes, lightly toasted",coconut flakes,1,cup,,,"unsweetened, lightly toasted",
"1 cup sliced almonds, toasted",almonds,1,cup,,,"sliced, toasted",
3 tablespoons fresh lemon juice,lemon juice,3,tablespoon,,,fresh,
2 tablespoons canola oil,canola oil,2,tablespoon,,,,
3 tablespoons minced fresh ginger,ginger,3,tablespoon,,,minced fresh,
"1 teaspoon kosher salt, plus more to taste",kosher salt,1,teaspoon,,,plus more to taste,
1 1/2 tablespoons fresh lime juice,lime juice,1.5,tablespoon,,,fresh,
"6 cups chicken broth, homemade or low-sodium canned",chicken broth,6,cup,,,homemade or low-sodium canned,
"1 large head roasted garlic, cloves separated",garlic,1,large head,,,"roasted, clove separated",
1 1/2 tablespoons olive oil,olive oil,1.5,tablespoon,,,,
2 1/4 cups unsweetened coconut milk,unsweetened coconut milk,2.25,cup,,,,
"6 small sweet potatoes (about 3 1/2 pounds), peeled and cut into 1-inch-thick pieces",sweet potatoes,6,small,,,"(about  3.5 pound), peeled and cut into 1-inch-thick piece",
1 cup shaved Parmesan cheese,Parmesan cheese,1,cup,,,shaved,
2 tablespoons olive oil,olive oil,2,tablespoon,,,,
3/4 teaspoon salt,salt,0.75,teaspoon,,,,
Freshly ground pepper to taste,Freshly ground pepper,,,,,to taste,
"18 1/4-inch-thick rounds French baguette, about 1 inch in diameter",French baguette,18,,,,"4-inch-thick, about 1 inch in diameter",
"1 1/2 cups Italian parsley, very coarsely chopped",Italian parsley,1.5,cup,,,very coarsely chopped,
6 tablespoons fresh lemon juice,lemon juice,6,tablespoon,,,fresh,
"1 pound slab bacon, cut into 3/4-inch-thick slices, then across into 1/4-inch-wide strips",slab bacon,1,pound,,,"cut into 0.75-inch-thick slice, then across into 0.25-inch-wide strip",
Freshly ground pepper to taste,Freshly ground pepper,,,,,to taste,
1 1/2 teaspoons chopped fresh rosemary,rosemary,1.5,teaspoon,,,chopped fresh,
1 1/2 teaspoons chopped fresh thyme,thyme,1.5,teaspoon,,,chopped fresh,
"3 quarts chicken broth, homemade or low-sodium canned",chicken broth,3,quart,,,homemade or low-sodium canned,
2 1/4 teaspoons kosher salt,kosher salt,2.25,teaspoon,,,,
1 cup sugar,sugar,1,cup,,,,
"1 cup fresh lemon verbena leaves, lightly packed",lemon verbena leaves,1,cup,,,"fresh, lightly packed",
1 tablespoon olive oil,olive oil,1,tablespoon,,,,
"3 cloves garlic, peeled and minced",garlic,3,clove,,,peeled and minced,
"2 medium onions, peeled and diced",onions,2,medium,,,peeled and diced,
"3 cups dried navy beans, soaked overnight and drained",navy beans,3,cup,,,"dried, soaked overnight and drained",
3 cups water,water,3,cup,,,,
"1 bottle light, fruity white wine, like gewurztraminer or riesling",fruity white wine,1,bottle,,,"light, like gewurztraminer or riesling",
6 grinds black pepper,black pepper,6,grind,,,,
1/4 cup seasoned rice wine vinegar (sold in Asian food stores),rice wine vinegar,0.25,cup,,,seasoned (sold in Asian food stores),
2 tablespoons water,water,2,tablespoon,,,,
1 teaspoon chopped shallot,shallot,1,teaspoon,,,chopped,
Dash Tabasco,Tabasco,,dash,,,,
"1/4 cup fresh lemon verbena leaves, lightly packed (about 2 6-inch sprigs)",lemon verbena leaves,0.25,cup,,,"fresh, lightly packed (about 2 6-inch sprig)",
"1/4 cup fresh lemon verbena leaves, packed",lemon verbena leaves,0.25,cup,,,"fresh, packed",
3/4 cup half-and-half,half-and-half,0.75,cup,,,,
1/2 cup sugar,sugar,0.5,cup,,,,
7 egg yolks,egg yolks,7,,,,,
1 3/4 cups heavy cream,heavy cream,1.75,cup,,,,
6 tablespoons vegetable oil,vegetable oil,6,tablespoon,,,,
Salt and freshly ground pepper to taste,Salt and freshly ground pepper,,,,,to taste,
"10 cups loosely packed bite-size pieces watercress, red-leaf lettuce and Belgian endive",watercress,10,cup,,,"loosely packed bite-size piece, red-leaf lettuce and Belgian endive",
"1/2 cup crumbled blue cheese like Roquefort, Saga or Danish blue",blue cheese,0.5,cup,,,"crumbled like Roquefort, Saga or Danish blue",
1 tablespoon Dijon-style mustard,Dijon-style mustard,1,tablespoon,,,,
Salt and freshly ground pepper to taste,Salt and freshly ground pepper,,,,,to taste,
1/4 teaspoon mace,mace,0.25,teaspoon,,,,
"6 tablespoons butter, melted",butter,6,tablespoon,,,melted,
2 tablespoons red-wine vinegar,red-wine vinegar,2,tablespoon,,,,
1/4 teaspoon finely minced garlic,garlic,0.25,teaspoon,,,finely minced,
1 cup milk or cream,milk or cream,1,cup,,,,
"2 pounds potatoes, peeled and cut up",potatoes,2,pound,,,peeled and cut up,
"1 3/4 cups sour milk or buttermilk, approximately",sour milk,1.75,cup,,,"or buttermilk, approximately",
"1 pound cabbage or kale, chopped",cabbage,1,pound,,,"or kale, chopped",
"1/2 cup leeks or scallions, cleaned and chopped",leeks,0.5,cup,,,"or scallions, cleaned and chopped",
"1 egg, beaten",egg,1,,,,beaten,
"4 tablespoons butter or margarine, cut in small pieces, plus enough to grease the pans",butter,4,tablespoon,,,"or margarine, cut in small piece, plus enough to grease the pans",
2 tablespoons sugar,sugar,2,tablespoon,,,,
3 teaspoons baking powder,baking powder,3,teaspoon,,,,
2 cups unbleached white flour,white flour,2,cup,,,unbleached,
1 teaspoon baking soda,baking soda,1,teaspoon,,,,
2 cups whole-wheat flour,whole-wheat flour,2,cup,,,,
3 tablespoons chopped parsley,parsley,3,tablespoon,,,chopped,
"2 large leeks, cleaned and sliced",leeks,2,large,,,cleaned and sliced,
Salt and freshly ground pepper to taste,Salt and freshly ground pepper,,,,,to taste,
Dash nutmeg,nutmeg,,dash,,,,
4 tablespoons old-fashioned Irish oatmeal (not instant or quick-cooking),old-fashioned Irish oatmeal,4,tablespoon,,,(not instant or quick-cooking),
3 cups beef broth or milk,beef broth,3,cup,,,or milk,
1/2 teaspoon ground cinnamon,ground cinnamon,0.5,teaspoon,,,,
Vanilla ice cream or creme fraiche,Vanilla ice cream,,,,,or creme fraiche,
2 tablespoons butter,butter,2,tablespoon,,,,
1 teaspoon baking soda,baking soda,1,teaspoon,,,,
1/2 teaspoon salt,salt,0.5,teaspoon,,,,
1 teaspoon ground ginger,ground ginger,1,teaspoon,,,,
1 1/4 cups all-purpose flour,all-purpose flour,1.25,cup,,,,
1/4 cup plus 2 tablespoons molasses,molasses,6,tablespoon,,,,
1/3 cup brown sugar,sugar,0.333,cup,,,brown,
1/3 cup sugar,sugar,0.333,cup,,,,
1 egg,egg,1,,,,,
1/4 cup plus 2 tablespoons boiling water,water,6,tablespoon,,,boiling,
"2 large Granny Smith apples, peeled, cored and thinly sliced",Smith apples,2,large,,,"Granny, peeled, cored and thinly sliced",
"4 squabs, cut in half lengthwise",squabs,4,,,,cut in half lengthwise,
"1/2 cup unsalted butter, at room temperature",unsalted butter,0.5,cup,,,at room temperature,
"1 tablespoon unsalted butter, softened",unsalted butter,1,tablespoon,,,softened,
1 teaspoon kosher salt,kosher salt,1,teaspoon,,,,
Freshly ground pepper to taste,Freshly ground pepper,,,,,to taste,
4 teaspoons finely chopped fresh thyme,thyme,4,teaspoon,,,finely chopped fresh,
"3 large baking potatoes, cut into long, 1/2-inch-thick strips",potatoes,3,large,,,"baking, cut into long, 0.5-inch-thick strip",
3 strips thick-cut bacon,bacon,3,strip,,,thick-cut,
1 teaspoon kosher salt,kosher salt,1,teaspoon,,,,
"1 cup toasted, skinned hazelnuts, ground",hazelnuts,1,cup,,,"toasted, skinned, ground",
4 teaspoons finely chopped fresh rosemary,rosemary,4,teaspoon,,,finely chopped fresh,
2 cups chopped arugula,arugula,2,cup,,,chopped,
1 teaspoon kosher salt,kosher salt,1,teaspoon,,,,
2 tablespoons balsamic vinegar,balsamic vinegar,2,tablespoon,,,,
1 cup grilled corn kernels,corn kernels,1,cup,,,grilled,
"1 red bell pepper, grilled, peeled, cored and cut into 1/2-inch strips",red bell pepper,1,,,,"grilled, peeled, cored and cut into 0.5-inch strip",
2 cups thinly sliced shiitake mushrooms,mushrooms,2,cup,,,thinly sliced shiitake,
"1/4 cup fresh basil leaves, cut crosswise into thin strips",basil leaves,0.25,cup,,,"fresh, cut crosswise into thin strip",
1 teaspoon olive oil,olive oil,1,teaspoon,,,,
Freshly ground pepper to taste,Freshly ground pepper,,,,,to taste,
2 teaspoons kosher salt,kosher salt,2,teaspoon,,,,
1/4 teaspoon saffron threads,saffron threads,0.25,teaspoon,,,,
2 tablespoons kosher salt,kosher salt,2,tablespoon,,,,
1/2 cup heavy cream,heavy cream,0.5,cup,,,,
2 cups whole milk,whole milk,2,cup,,,,
"2 cups red potatoes, cut into 1/4-inch dice",red potatoes,2,cup,,,cut into 0.25-inch dice,
"2 carrots, peeled and cut into 1/4-inch dice",carrots,2,,,,peeled and cut into 0.25-inch dice,
2 cups white wine,white wine,2,cup,,,,
1/2 cup water,water,0.5,cup,,,,
2 tablespoons fresh lemon juice,lemon juice,2,tablespoon,,,fresh,
"5 pounds mussels, scrubbed, beards removed",mussels,5,pound,,,"scrubbed, beards removed",
2 teaspoons unsalted butter,unsalted butter,2,teaspoon,,,,
"4 medium leeks, halved lengthwise and thinly sliced crosswise",leeks,4,medium,,,halved lengthwise and thinly sliced crosswise,
1/4 cup white wine,white wine,0.25,cup,,,,
2 tablespoons chopped Italian parsley,Italian parsley,2,tablespoon,,,chopped,
2 tablespoons fresh lemon juice,lemon juice,2,tablespoon,,,fresh,
2 teaspoons olive oil,olive oil,2,teaspoon,,,,
1 1/2 teaspoons kosher salt,kosher salt,1.5,teaspoon,,,,
Freshly ground pepper to taste,Freshly ground pepper,,,,,to taste,
"1 clove garlic, peeled and minced",garlic,1,clove,,,peeled and minced,
2 cups thinly sliced shiitake mushrooms,mushrooms,2,cup,,,thinly sliced shiitake,
"14 plum tomatoes, cored and halved lengthwise",plum tomatoes,14,,,,cored and halved lengthwise,
1/4 cup white wine,white wine,0.25,cup,,,,
1 pound bay scallops,bay scallops,1,pound,,,,
2 tablespoons fresh lemon juice,lemon juice,2,tablespoon,,,fresh,
2 teaspoons olive oil,olive oil,2,teaspoon,,,,
"3 large cloves garlic, peeled and minced",garlic,3,large clove,,,peeled and minced,
1 teaspoon grated lemon zest,lemon zest,1,teaspoon,,,grated,
"2 pounds fresh spinach, stemmed and washed but not dried",spinach,2,pound,,,"fresh, stemmed and washed but not dried",
2 teaspoons kosher salt,kosher salt,2,teaspoon,,,,
Freshly ground pepper to taste,Freshly ground pepper,,,,,to taste,
1 cup raw rice,raw rice,1,cup,,,,
1 1/2 cups fresh or canned chicken broth,chicken broth,1.5,cup,,,fresh or canned,
Salt to taste if desired,Salt,,,,,to taste if desired,
Freshly ground pepper to taste,Freshly ground pepper,,,,,to taste,
1 teaspoon chili powder,chili powder,1,teaspoon,,,,
1/2 cup finely chopped celery,celery,0.5,cup,,,finely chopped,
1/3 cup finely chopped onion,onion,0.333,cup,,,finely chopped,
1/3 cup finely chopped scallions or green onions,green onions,0.333,cup,,,finely chopped oronions,
1 tablespoon finely chopped shallots,shallots,1,tablespoon,,,finely chopped,
1 tablespoon grated fresh ginger,ginger,1,tablespoon,,,grated fresh,
2 tablespoons butter,butter,2,tablespoon,,,,
2 tablespoons finely chopped fresh coriander (optional),coriander,2,tablespoon,,,finely chopped fresh (optional),
3/4 cup heavy cream,heavy cream,0.75,cup,,,,
1/4 cup dry white wine,dry white wine,0.25,cup,,,,
1/2 cup fresh or canned chicken broth,chicken broth,0.5,cup,,,fresh or canned,
24 small pearl onions,onions,24,small,,,pearl,
2 tablespoons butter,butter,2,tablespoon,,,,
"12 small carrots, about 1/2 pound",carrots,12,small,,,about 0.5 pound,
Freshly ground pepper to taste,Freshly ground pepper,,,,,to taste,
Salt to taste if desired,Salt,,,,,to taste if desired,
1/2 teaspoon dried oregano,oregano,0.5,teaspoon,,,dried,
1 teaspoon dried basil,basil,1,teaspoon,,,dried,
1 6-ounce can no-salt-added tomato paste,tomato paste,6,ounce,,,1 6-ounce can no-salt-added,
"1/2 of 28-ounce can no-salt-added crushed tomatoes, plus 2 tablespoons",tomatoes,14,ounce,,, 0.5 of 28-ounce can no-salt-added crushed,
2 large cloves garlic,garlic,2,large clove,,,,
1 teaspoon olive oil,olive oil,1,teaspoon,,,,
"12 ounces whole onion or 11 ounces chopped, ready-cut onion (2 1/4 to 2 1/2 cups)",onion,12,ounce,,,"whole or 11 ounce chopped, ready-cut onion ( 2.25-2.5 cup)",
"1 large onion, finely chopped",onion,1,large,,,finely chopped,
1 to 2 tablespoons olive oil,olive oil,1-2,tablespoon,,,,
1/2 cup dry white wine,dry white wine,0.5,cup,,,,
1 pound broccoli florets or 2 pounds whole broccoli,broccoli florets,1,pound,,,or 2 pound whole broccoli,
"1/2 to 2/3 pound mushrooms, washed, trimmed and sliced",mushrooms,0.5-0.667,pound,,,"washed, trimmed and sliced",
"1 1/4 cups low-fat ricotta cheese, at room temperature",ricotta cheese,1.25,cup,,,"low-fat, at room temperature",
"1 1/4 cups nonfat yogurt, at room temperature",yogurt,1.25,cup,,,"nonfat, at room temperature",
1 tablespoon fresh marjoram leaves,marjoram leaves,1,tablespoon,,,fresh,
1 tablespoon olive oil,olive oil,1,tablespoon,,,,
1 cup dry white wine,dry white wine,1,cup,,,,
"1 large clove garlic, minced",garlic,1,large clove,,,minced,
"4 skinless, boneless chicken breasts, about 1 1/2 pounds",chicken breast,4,,,,"skinless, boneless, about  1.5 pound",
1/2 cup sun-dried tomato halves,sun-dried tomato,0.5,cup,,,halves,
1 or 2 green onions to yield 2 tablespoons chopped,green onions,1-2,,,,or to yield 2 tablespoon chopped,
1/8 teaspoon hot pepper flakes,hot pepper flakes,0.125,teaspoon,,,,
"1 1/2 -inch piece of fresh ginger root, peeled and diced",ginger root,1,piece,,," 0.5 -inch of fresh, peeled and diced",
1 tablespoon sweet butter,sweet butter,1,tablespoon,,,,
"2 zucchini, chopped",zucchini,2,,,,chopped,
"5 bunches parsley, cleaned",parsley,5,bunch,,,cleaned,
3 cups chicken broth,chicken broth,3,cup,,,,
1 cup milk,milk,1,cup,,,,
1/4 teaspoon dried chili pepper,chili pepper,0.25,teaspoon,,,dried,
1 teaspoon coriander seeds,coriander seed,1,teaspoon,,,,
"1 onion, chopped",onion,1,,,,chopped,
"2 cloves garlic, peeled but whole",garlic,2,clove,,,peeled but whole,
1/2 cup minted fresh flat-leaf parsley,parsley,0.5,cup,,,minted fresh flat-leaf,
Salt to taste,Salt,,,,,to taste,
1/2 cup olive oil,olive oil,0.5,cup,,,,
Juice of 2 lemons,lemons,2,,,,Juice of,
1/2 cup minced fresh mint,mint,0.5,cup,,,minced fresh,
1 cup bulgur wheat,bulgur wheat,1,cup,,,,
"3 ripe tomatoes, finely chopped",tomatoes,3,,,,"ripe, finely chopped",
"1 cucumber, peeled, seeded and finely chopped",cucumber,1,,,,"peeled, seeded and finely chopped",
"1/2 onion, minced",onion,0.5,,,,minced,
1/2 teaspoon salt,salt,0.5,teaspoon,,,,
1/2 teaspoon freshly ground black pepper, ground black pepper,0.5,teaspoon,,,freshly ,
2 tablespoons fresh lemon juice,lemon juice,2,tablespoon,,,fresh,
1/3 cup extra-virgin olive oil,extra-virgin olive oil,0.333,cup,,,,
"1 red onion, cut in wafer-thin slices",red onion,1,,,,cut in wafer-thin slice,
"1 tomato, diced",tomato,1,,,,diced,
3 bunches flat-leaf parsley,parsley,3,bunch,,,flat-leaf,
3 cups extra-virgin olive oil,extra-virgin olive oil,3,cup,,,,
Salt and freshly ground black pepper,Salt and freshly ground black pepper,,,,,,
"4 bunches flat-leaf parsley, leaves only",parsley,4,bunch,,,"flat-leaf, leaves only",
"Juice of one lemon, or to taste",lemon,1,,,,"Juice of, or to taste",
Salt and freshly ground pepper to taste,Salt and freshly ground pepper,,,,,to taste,
1/3 bunch dill chopped (or approximately 1 teaspoon dried dill),dill,0.333,bunch,,,chopped (or approximately 1 teaspoon dried dill),
"2 medium-size eggplants, about 2 pounds",eggplants,2,medium-size,,,about 2 pound,
5 large or 6 medium-size garlic cloves,garlic,5,large clove,,,or 6 medium-size,
3/4 cup full-bodied extra virgin olive oil,extra virgin olive oil,0.75,cup,,,full-bodied ,
"4 carrots, scraped and quartered lengthwise",carrots,4,,,,scraped and quartered lengthwise,
4 lemons cut in half,lemons,4,,,,cut in half,
1/2 cup finely chopped onions or scallions,onions,0.5,cup,,,finely chopped or scallions,
"1/2 cup extra virgin oil, preferably Greek",extra virgin olive oil,0.5,cup,,,preferably Greek,
"10 to 12 small white onions, peeled",white onions,10-12,,,,"small, peeled",
"Sprinkling of sea salt, if desired",salt,,,,,"Sprinkling of sea, if desired",
6 artichokes,artichokes,6,,,,,
"6 tablespoons very fruity, extra-virgin olive oil",extra-virgin olive oil,6,tablespoon,,,"very fruity, ",
1 clove garlic,garlic,1,clove,,,,
"6 slices of densely-textured white country bread, approximately 1/2 to 3/4 inch thick",bread,6,slice,,,"densely-textured white country, approximately 0.5-0.75 inch thick",
"1 cup grated Parmesan, or more",Parmesan,1,cup,,,"grated, or more",
1 stick butter,butter,1,stick,,,,
8 sheets of pasta,pasta,8,sheet,,,,
1/4 cup olive oil,olive oil,0.25,cup,,,,
"2 pounds chard, washed, stems removed and coarsely shredded",chard,2,pound,,,"washed, stems removed and coarsely shredded",
"2 1/2 cups whole milk, warmed",whole milk,2.5,cup,,,", warmed",
2 sticks butter (1/2 pound),butter,2,stick,,, 0.5 pound,
1 1/4 cups all-purpose flour,all-purpose flour,1.25,cup,,,,
8 ounces mascarpone,mascarpone,8,ounce,,,,
"1/4 pound chanterelle mushrooms, rinsed",mushrooms,0.25,pound,,,"chanterelle, rinsed",
"1/4 pound oyster mushrooms, rinsed",oyster mushrooms,0.25,pound,,,rinsed,
"1/4 pound black trumpet mushrooms, rinsed",mushrooms,0.25,pound,,,"black trumpet, rinsed",
15 sprigs thyme,thyme,15,sprig,,,,
Salt and pepper,Salt and pepper,1,,,,,
3 eggs,eggs,3,,,,,
Olive oil as needed,Olive oil,,,,,as needed,
"1 pound butternut squash, peeled and cut into 1/2-inch dice",butternut squash,1,pound,,,peeled and cut into 0.5-inch dice,
1/4 cup olive oil,olive oil,0.25,cup,,,,
1 cup extra virgin olive oil,extra virgin olive oil,1,cup,,,,
"2 cups all purpose flour, more as needed",all purpose flour,2,cup,,,more as needed,
Salt,Salt,,,,,,
2 tablespoons fresh lemon juice,lemon juice,2,tablespoon,,,fresh,
1 egg or egg yolk,egg,1,,,,or egg yolk,
Dash cayenne,cayenne,,dash,,,,
"1/4 teaspoon saffron, optional",saffron,0.25,teaspoon,,,optional,
"1 or more cloves garlic, roughly chopped",garlic,1,clove,,,"or more, roughly chopped",
"3/4 pound green beans, trimmed",green beans,0.75,pound,,,trimmed,
1 pound cod or salmon fillet in a thick slab,cod or salmon fillet in a thick slab,1,pound,,,,
1 pound fingerling potatoes,fingerling potatoes,1,pound,,,,
"4 medium carrots, peeled and in chunks",carrots,4,medium,,,peeled and in chunks,
Salt and pepper,Salt and pepper,,,,,,
1/8 teaspoon salt,salt,0.125,teaspoon,,,,
A sprig of fresh dill to yield 1 tablespoon chopped,dill,1,sprig,,,of fresh to yield 1 tablespoon chopped,
1/2 cup nonfat buttermilk,buttermilk,0.5,cup,,,nonfat,
2 tablespoons flour,flour,2,tablespoon,,,,
1/8 teaspoon salt,salt,0.125,teaspoon,,,,
Freshly ground black pepper,freshly ground black pepper,,,,,,
10 ounces scallops of chicken breasts,chicken breasts,10,ounce,,,scallops of,
1 large clove garlic,garlic,1,large clove,,,,
2 teaspoons olive oil,olive oil,2,teaspoon,,,,
1/4 cup Marsala plus 2 tablespoons,Marsala,6,tablespoon,,,,
1 pound tiny new potatoes,potatoes,1,pound,,,tiny new,
2 cloves garlic,garlic,2,clove,,,,
1/2 cup buttermilk,buttermilk,0.5,cup,,,,
"8 tablespoons cold unsalted butter, in small pieces",unsalted butter,8,tablespoon,,,"cold, in small piece",
"1 large egg, lightly beaten",egg,1,large,,,lightly beaten,
4 teaspoons baking powder,baking powder,4,teaspoon,,,,
1/2 teaspoon salt,salt,0.5,teaspoon,,,,
Cayenne pepper to taste,Cayenne pepper,,,,,to taste,
1 tablespoon sugar,sugar,1,tablespoon,,,,
1 1/3 cups flour,flour,1.333,cup,,,,
1/2 cup yellow cornmeal,yellow cornmeal,0.5,cup,,,,
Cayenne pepper,Cayenne pepper,,,,,,
4 cups half-and-half,half-and-half,4,cup,,,,
3 tablespoons bourbon or brandy (optional),bourbon,3,tablespoon,,,brandy or (optional),
1/2 cup chopped parsley,parsley,0.5,cup,,,chopped,
Pinch ground allspice,ground allspice,,pinch,,,,
4 cups corn kernels,corn kernels,4,cup,,,,
"1 large garlic clove, crushed",garlic,1,clove,,,crushed,
1/4 teaspoon white pepper,white pepper,0.25,teaspoon,,,,
1/4 teaspoon salt,salt,0.25,teaspoon,,,,
"3 pints shucked oysters, with their liquor",oysters,3,pint,,,"shucked, with their liquor",
2 tablespoons fruity olive oil,fruity olive oil,2,tablespoon,,,,
3 tablespoons balsamic vinegar,balsamic vinegar,3,tablespoon,,,,
Salt and freshly ground black pepper to taste,Salt and freshly ground black pepper,,,,,to taste,
5 tablespoons butter,butter,5,tablespoon,,,,
"6 slices bacon, coarsely chopped",bacon,6,slice,,,coarsely chopped,
"2 medium-size onions, coarsely chopped",onions,2,medium-size,,,coarsely chopped,
1 cup diced celery,celery,1,cup,,,diced,
"1 large green pepper, cored, seeded and coarsely chopped",green pepper,1,large,,,"cored, seeded and coarsely chopped",
1 tablespoon minced fresh parsley,fresh parsley,1,tablespoon,,,minced,
"2 teaspoons fresh minced herbs like savory, marjoram, thyme or oregano","fresh herbs savory, marjoram, thyme or oregano",2,teaspoon,,,minced,
"1 large clove garlic, minced",garlic,1,large clove,,,minced,
"1 medium red bell pepper, cored and finely chopped",red bell pepper,1,medium,,,cored and finely chopped,
"1 medium red onion, minced",red onion,1,medium,,,minced,
3 cups cooked beans (see recipe above),beans,3,cup,,,cooked (see recipe above),
Toasted pita triangles,pita,,,,,toasted triangles,
1/8 teaspoon red-pepper flakes,red pepper flakes,0.125,teaspoon,,,,
Salt to taste,Salt,,,,,to taste,
2 tablespoons tahini,tahini,2,tablespoon,,,,
3 tablespoons lemon juice,lemon juice,3,tablespoon,,,,
"4 carrots, peeled and halved",carrots,4,,,,peeled and halved,
"2 large onions, quartered",onions,2,large,,,quartered,
1 large clove garlic,garlic,1,large clove,,,,
"1 small onion, quartered",onion,1,small,,,quartered,
2 cups cooked beans with 2 cooked carrots,beans,2,cup,,,cooked with 2 cooked carrots,
"4 garlic cloves, peeled",garlic,4,clove,,,peeled,
1/3 cup coconut milk,coconut milk,0.333,cup,,,,
2 teaspoons dark soy sauce,dark soy sauce,2,teaspoon,,,,
4 teaspoons Vietnamese fish sauce,fish sauce,4,teaspoon,,,Vietnamese,
1 teaspoon sugar,sugar,1,teaspoon,,,,
1 tablespoon fresh lime juice,lime juice,1,tablespoon,,,fresh,
1/4 teaspoon salt,salt,0.25,teaspoon,,,,
1/2 cup minced fresh coriander,coriander,0.5,cup,,,minced fresh,
"2 cups dried beans, in any combination",beans,2,cup,,,"dried, in any combination",
2 quarts water,water,2,quart,,,,
"4 teaspoons dried oregano, thyme or marjoram",dried oregano,4,teaspoon,,,thyme or marjoram,
1 bay leaf,bay leaf,1,,,,,
4 cloves garlic,garlic,4,clove,,,,
"1 pound smoked turkey or chicken, skin removed, or smoked pork, fat removed, and meat cut in large chunks",smoked turkey or chicken or smoked pork,1,pound,,skin removed fat removed and meat cut in large chunk,,
1/2 cup fresh peanuts,peanuts,0.5,cup,,,fresh,
2 fresh green chili peppers,green chili peppers,2,,,,fresh,
2 tablespoons fresh minced ginger,ginger,2,tablespoon,,,fresh minced,
1 cup peanut oil,peanut oil,1,cup,,,,
2 tablespoons peanut oil,peanut oil,2,tablespoon,,,,
"2 chicken breasts, cut in 3/4-inch strips",chicken breasts,2,,,,cut in 0.75-inch strip,
4 tablespoons tamarind paste,tamarind paste,4,tablespoon,,,,
2 tablespoons Vietnamese fish sauce,fish sauce,2,tablespoon,,,Vietnamese,
2 tablespoons brown sugar,brown sugar,2,tablespoon,,,,
