input,name,quantity,unit,comment
"350 g lean lamb leg, cubed",lean lamb leg,350,g,cubed
"4 shallots, quartered",shallots,4,,quartered
"2 leeks, sliced",leeks,2,,sliced
"4 carrots, thickly sliced",carrots,4,,thickly sliced
"400 g potatoes, cut into large cubes",potatoes,400,g,cut into large cubes
"3 tbsp plain flour, seasoned",plain flour,3,tbsp,seasoned
500 ml lamb or chicken stock,lamb or chicken stock,500,ml,
"300 g frozen peas, defrosted",frozen peas,300,g,defrosted
"handful mint leaves, to garnish",mint leaves,,handful,to garnish
"3 onions, chopped small",onions,3,,chopped small
"5 green chillies, chopped small",green chillies,5,,chopped small
"1 tomato, chopped small",tomato,1,,chopped small
0.5 tbsp tomato purée,tomato purée,0.5,tbsp,
"0.5 cloves garlic, peeled and chopped small",garlic,0.5,cloves,peeled and chopped small
"small piece of ginger, peeled and chopped small",small piece of ginger,,,peeled and chopped small
0.25 tsps Haldi / turmeric,Haldi / turmeric,0.25,tsps,
1 tsp red chilli powder,red chilli powder,1,tsp,
0.75 tsps salt,salt,0.75,tsps,
0.5 tsps Garam masala,Garam masala,0.5,tsps,
0.75 cups oil,oil,0.75,cups,
0.75 jeera / cumin,jeera / cumin,0.75,,
8 chicken thighs,chicken thighs,8,,
Coriander,Coriander ,,,
"750 g baby new potatoes, halved",baby new potatoes,750,g,halved
1 tbsp wholegrain mustard,wholegrain mustard,1,tbsp,
juice 1 small orange,juice 1 small orange,,,
2 tsp clear honey,clear honey,2,tsp,
"4 skinless, boneless, salmon fillets, each weighing about 140 g","skinless, boneless, salmon fillets",4,,each weighing about 140 g
2 orange or red peppers,orange or red peppers,2,,
250 g sugar snap peas,sugar snap peas,250,g,
2 tbsp olive oil (garlic-infused if you have it),olive oil (garlic-infused if you have it),2,tbsp,
2 tbsps butter,butter,2,tbsps,
"0.5 medium onion, cut in &frac12;-inch dice",onion,0.5,medium,cut in &frac12;-inch dice
"1 medium carrot, peeled cut in &frac14;-inch dice",carrot,1,medium,peeled  cut in &frac14;-inch dice
"2-3 slices deli ham, cut into &frac12;-inch pieces",deli ham,2-3,slices,cut into &frac12;-inch pieces
"2 cups cooked medium-grain rice, preferably day-old or cooked a little dry",cooked medium-grain rice,2,cups,preferably day-old or cooked a little dry
"2 tbsp ketchup, plus more for serving",ketchup,2,tbsp,plus more for serving
1 tsp soy sauce,soy sauce,1,tsp,
0.25 cup frozen peas,frozen peas,0.25,cup,
1 tbsp chicken stock or dashi (optional),chicken stock or dashi (optional),1,tbsp,
salt and pepper,salt and pepper,,,
"Canola or safflower oil, or other neutral oil",Canola or safflower oil,,,or other neutral oil
"1 tsp canola or safflower oil, or other neutral oil",canola or safflower oil,1,tsp,or other neutral oil
4 eggs,eggs,4,,
1 tsp dashi or water,dashi or water,1,tsp,
salt and pepper,salt and pepper,,,
oil to fry,oil to fry,,,
1x 250 g pack pancetta lardons,pancetta lardons,1x,250 g pack,
"1 onion, chopped",onion,1,,chopped
"1 clove garlic, finely chopped",garlic,1,clove,finely chopped
1 mug basmati rice,basmati rice,1,mug,
2 mugs water,water,2,mugs,
1 chicken stock pot,chicken stock pot,1,,
"4-5 mushrooms, sliced",mushrooms,4-5,,sliced
1 tsp mixed dried herbs,mixed dried herbs,1,tsp,
"250 g cherry tomatoes, halved",cherry tomatoes,250,g,halved
0.5 mug freshly grated Parmesan,freshly grated Parmesan,0.5,mug,
"pepper, to season",pepper,,,to season
8 oz. fettuccine,fettuccine,8,oz.,
2 tbsp olive oil,olive oil,2,tbsp,
1 tbsp butter,butter,1,tbsp,
4 cloves garlic,garlic,4,cloves,
"0.5 lb peeled & deveined shrimp, 41/50 size",peeled & deveined shrimp,0.5,lb,41/50 size
1x 15 oz can diced tomatoes,can diced tomatoes,1x,15 oz,
0.25 tsp crushed red pepper flakes,crushed red pepper flakes,0.25,tsp,
0.25 tsp salt,salt,0.25,tsp,
Freshly cracked pepper to taste,Freshly cracked pepper to taste,,,
Handful fresh parsley,Handful fresh parsley,,,
160 g basmati rice,basmati rice,160,g,
"4 clementines, peeled and cut into rings",clementines,4,,peeled and cut into rings
1 tbsp extra virgin olive oil,extra virgin olive oil,1,tbsp,
"0.5 red pepper, cut into 1 cm chunks",red pepper,0.5,,cut into 1 cm chunks
"0.5 small clove garlic, crushed",garlic,0.5,small clove,crushed
"0.5x 25 g pack coriander, finely chopped",coriander,0.5x,25 g pack,finely chopped
juice of 0.5 lime,juice of 0.5 lime,,,
"1 red chilli, deseeded and finely chopped (optional)",red chilli,1,,deseeded and finely chopped (optional)
220 g salmon fillets,salmon fillets,220,g,
1 tbsp clear honey,clear honey,1,tbsp,
pinch smoked paprika,smoked paprika,,pinch,
"200 g tenderstem brocolli, to serve",tenderstem brocolli,200,g,to serve
4 very large potatoes,potatoes,4,very large,
1 tbsp vegetable oil,vegetable oil,1,tbsp,
"1 red onion, &frac12; grated and &frac12; finely chopped",red onion,1,,&frac12; grated and &frac12; finely chopped
"1 carrot, grated",carrot,1,,grated
400 g beef mince,beef mince,400,g,
2 tsp jerk seasoning,jerk seasoning,2,tsp,
"200 g fresh pineapple, finely chopped",fresh pineapple,200,g,finely chopped
"1 red chilli, deseeded and finely chopped",red chilli,1,,deseeded and finely chopped
"small handful coriander, roughly chopped",coriander,,small handful,roughly chopped
juice 1 lime,juice 1 lime,,,
"lettuce and burger buns , to serve",lettuce and burger buns ,,,to serve
125 g coconut oil,coconut oil,125,g,
"2 onions, chopped",onions,2,,chopped
5 dried red chillies (Scotch bonnet work well),dried red chillies (Scotch bonnet work well),5,,
"thumb-sized piece ginger, grated",ginger,,thumb-sized piece,grated
"4 cloves garlic, grated",garlic,4,cloves,grated
6 dried curry leaves,dried curry leaves,6,,
0.5 tsp mustard seeds,mustard seeds,0.5,tsp,
30 g tomato puree,tomato puree,30,g,
0.5 tsp hot chilli powder,hot chilli powder,0.5,tsp,
0.5 tsp turmeric,turmeric,0.5,tsp,
2x 400 g cans coconut milk,coconut milk,2x,400 g cans,
"300 g cauliflower (0.5 small one), broken into small florets",cauliflower (0.5 small one),300,g,broken into small florets
"1 large potato, peeled and chopped into 2 cm chunks",potato,1,large,peeled and chopped into 2 cm chunks
600 g raw peeled prawns,raw peeled prawns,600,g,
"1 bunch spring onions, finely chopped",spring onions,1,bunch,finely chopped
"1 bunch coriander, chopped",coriander,1,bunch,chopped
"100 g salted peanuts, chopped",salted peanuts,100,g,chopped
lime wedges,lime wedges,,,
450 g cherry tomatoes,cherry tomatoes,450,g,
pinch of golden caster sugar,of golden caster sugar,,pinch,
"1 onion, chopped",onion,1,,chopped
"2 cloves garlic, crushed",garlic,2,cloves,crushed
"1 tsp dried or 1 tbsp chopped fresh oregano, plus extra to serve",dried or 1 tbsp chopped fresh oregano,1,tsp,plus extra to serve
5 tbsp vegetable stock,vegetable stock,5,tbsp,
350 g short pasta shapes such as penne,short pasta shapes such as penne,350,g,
1 tbsp coriander seeds,coriander seeds,1,tbsp,
Sea salt,Sea salt,,,
2 tbsp fresh or dried pomegranate seeds,fresh or dried pomegranate seeds,2,tbsp,
1 lb ground beef,ground beef,1,lb,
"0.5 small yellow onion, minced",yellow onion,0.5,small,minced
"0.5 medium tomato, finely chopped and drained of juice",tomato,0.5,medium,finely chopped and drained of juice
"1 clove garlic, finely grated or pounded",garlic,1,clove,finely grated or pounded
1 tbsp finely grated fresh ginger,finely grated fresh ginger,1,tbsp,
"0.5 jalapeno, seeded and minced",jalapeno,0.5,,seeded and minced
0.5 tsp red-pepper flakes,red-pepper flakes,0.5,tsp,
1 tsp garam masala,garam masala,1,tsp,
1 tsp cumin powder,cumin powder,1,tsp,
0.25 cup finely chopped cilantro leaves and tender stems,finely chopped cilantro leaves and tender stems,0.25,cup,
1 egg,egg,1,,
Neutral oil for cooking,Neutral oil for cooking,,,
Burger buns,Burger buns,,,
Iceberg lettuce,Iceberg lettuce,,,
Tamarind ketchup,Tamarind ketchup,,,
Herbed yogurt,Herbed yogurt,,,
"Sliced Persian cucumbers, red onions and tomatoes","Sliced Persian cucumbers, red onions and tomatoes",,,
4 sweet potatoes,sweet potatoes,4,,
"2 tbsp olive oil, plus extra to rub on the potatoes",olive oil,2,tbsp,plus extra to rub on the potatoes
juice 1 lime,juice 1 lime,,,
2 tsp chilli powder,chilli powder,2,tsp,
1 tsp garlic powder,garlic powder,1,tsp,
1 tsp ground cumin,ground cumin,1,tsp,
"500 g lean beef steak, cut into medium-sized strips",lean beef steak,500,g,cut into medium-sized strips
"2 onions, thinly sliced",onions,2,,thinly sliced
"4 peppers, a mixture of orange, yellow and red, thinly sliced",peppers,4,,"a mixture of orange, yellow and red, thinly sliced"
"small handful coriander, chopped",coriander,,small handful,chopped
"2 avocados, halved, stoned and peeled",avocados,2,,"halved, stoned and peeled"
4 tbsp of Sacla' 'Nduja pesto,of Sacla' 'Nduja pesto,4,tbsp,
Bunch of basil,Bunch of basil,,,
Cheddar,Cheddar,,,
Parmesan,Parmesan,,,
500 g fusilli,fusilli,500,g,
Oregano,Oregano,,,
Red wine vinegar,Red wine vinegar,,,
1 lemon,lemon,1,,
1 clove garlic,garlic,1,clove,
pack of sweet peppers,of sweet peppers,,pack,
150 g red and yellow peppers in oil,red and yellow peppers in oil,150,g,
8 tbsp passata,passata,8,tbsp,
4 small wheat-free pizza bases,wheat-free pizza bases,4,small,
4 medium eggs,eggs,4,medium,
"125 g watercress, washed and stalks removed",watercress,125,g,washed and stalks removed
"3 sweet potatoes, cut into chunks",sweet potatoes,3,,cut into chunks
190 g bag spinach,bag spinach,190,g,
1 tbsp sunflower oil,sunflower oil,1,tbsp,
"8 chicken thighs, skinless and boneless",chicken thighs,8,,skinless and boneless
500 ml chicken stock,chicken stock,500,ml,
"2 onions, chopped",onions,2,,chopped
"1 red chilli, chopped",red chilli,1,,chopped
1 tsp paprika,paprika,1,tsp,
"thumb-sized piece ginger, grated",ginger,,thumb-sized piece,grated
400 g can tomatoes,tomatoes,400,g can,
"2 preserved lemons, deseeded and chopped",preserved lemons,2,,deseeded and chopped
"pumpkin seeds, toasted",pumpkin seeds,,,toasted
"2-3 preserved lemons, deseeded and chopped",preserved lemons,2-3,,deseeded and chopped
"4 naan bread, warmed",naan bread,4,,warmed
"180 g pack peeled raw prawns, roughly chopped",pack peeled raw prawns,180,g,roughly chopped
"4 skinless salmon fillets, chopped into small chunks",skinless salmon fillets,4,,chopped into small chunks
"3 spring onions, roughly chopped",spring onions,3,,roughly chopped
"1 lemon, zeststed and juiced",lemon,1,,zeststed and juiced
small pack coriander,coriander,,small pack,
60 g mayonnaise or Greek yogurt,mayonnaise or Greek yogurt,60,g,
4 tsp chilli sauce (we used sriracha),chilli sauce (we used sriracha),4,tsp,
"2 Little Gem lettuces, shredded",Little Gem lettuces,2,,shredded
"1 cucumber, peeled into ribbons",cucumber,1,,peeled into ribbons
1 tbsp olive oil,olive oil,1,tbsp,
"4 seeded burger buns, toasted, to serve",seeded burger buns,4,,"toasted, to serve"
"115 g unsalted butter, diced and chilled, plus extra for the tin",unsalted butter,115,g,"diced and chilled, plus extra for the tin"
225 g self-raising flour,self-raising flour,225,g,
2 tsp ground cinnamon,ground cinnamon,2,tsp,
115 g light brown sugar,light brown sugar,115,g,
"1 large egg, beaten",egg,1,large,beaten
6-8 tbsp milk,milk,6-8,tbsp,
"225 g Bramley or Granny Smith apples, peeled, cored and diced",Bramley or Granny Smith apples,225,g,"peeled, cored and diced"
100 g sultanas,sultanas,100,g,
2 tbsp demerara sugar (optional),demerara sugar (optional),2,tbsp,
"450 g mixed spring vegetables, including green beans, asparagus, broad beans, peas.",mixed spring vegetables,450,g,"including green beans, asparagus, broad beans, peas."
400 g tagliatelle,tagliatelle,400,g,
"juice of 1 lemon, zest of half",juice of 1 lemon,,,zest of half
"1 tbsp Dijon mustard, mustard",Dijon mustard,1,tbsp,mustard
1 tbsp olive or rapeseed oil,olive or rapeseed oil,1,tbsp,
3 tbsp snipped chives,snipped chives,3,tbsp,
"shaved Parmesan, to serve",shaved Parmesan,,,to serve
1 tbsp vegetable or rapeseed oil,vegetable or rapeseed oil,1,tbsp,
"1 clove garlic, finely chopped",garlic,1,clove,finely chopped
"4 boneless skinless chicken breasts, cut into bite-sized pieces",boneless skinless chicken breasts,4,,cut into bite-sized pieces
1x 227 g can pineapple chunks in natural juice,pineapple chunks in natural juice,1x,227 g can,
"2 carrots, cut into thin sticks",carrots,2,,cut into thin sticks
1 tbsp cornflour,cornflour,1,tbsp,
juice 1 lemon,juice 1 lemon,,,
2 tbsp tomato puree,tomato puree,2,tbsp,
3 tbsp light soy sauce,light soy sauce,3,tbsp,
"1 bunch spring onions, trimmed and cut into lengths",spring onions,1,bunch,trimmed and cut into lengths
"rice or noodles, to serve",rice or noodles,,,to serve
1 tbsp olive oil,olive oil,1,tbsp,
"1 large onion, chopped",onion,1,large,chopped
"1 red pepper, deseeded and thinly sliced",red pepper,1,,deseeded and thinly sliced
"2 cloves garlic, finely chopped",garlic,2,cloves,finely chopped
1 tbsp chopped rosemary leaves,chopped rosemary leaves,1,tbsp,
"1 aubergine, diced",aubergine,1,,diced
"2 courgettes, diced",courgettes,2,,diced
1 tsp balsamic vinegar,balsamic vinegar,1,tsp,
1x 400 g can chopped tomatoes,chopped tomatoes,1x,400 g can,
4 eggs,eggs,4,,
handful basil leaves,basil leaves,,handful,
crusty bread,crusty bread,,,
1 cup uncooked pearl couscous,uncooked pearl couscous,1,cup,
olive oil,olive oil,,,
2 cup cooked chickpeas,cooked chickpeas,2,cup,
2 cup cherry tomatoes,cherry tomatoes,2,cup,
0.5 tsp salt,salt,0.5,tsp,
0.25 tsp ground black pepper,ground black pepper,0.25,tsp,
0.5 cucumber,cucumber,0.5,,
0.25 cup sliced black olives,sliced black olives,0.25,cup,
3 tbsp fresh mint leaves,fresh mint leaves,3,tbsp,
2 tbsp fresh basil,fresh basil,2,tbsp,
2 tbsp fresh parsley,fresh parsley,2,tbsp,
0.25 cup roasted almonds,roasted almonds,0.25,cup,
3 tbsp olive oil,olive oil,3,tbsp,
3 tbsp red wine vinegar,red wine vinegar,3,tbsp,
1 tbsp fresh lemon juice,fresh lemon juice,1,tbsp,
0.25 tsp paprika powder,paprika powder,0.25,tsp,
170 g soy veggie ground,soy veggie ground,170,g,
2 tbsp Mexican-inspired spice mix,Mexican-inspired spice mix,2,tbsp,
6 large (25 cm) tortilla wrap,(25 cm) tortilla wrap,6,large,
555 g refried beans,refried beans,555,g,
"2 red bell pepper, diced",red bell pepper,2,,diced
"2 stalk green onion, thinly sliced",stalk green onion,2,,thinly sliced
"176 g canned corn, drained",canned corn,176,g,drained
0.5 cup fresh cilantro,fresh cilantro,0.5,cup,
0.5 cup sliced black olives,sliced black olives,0.5,cup,
0.5 cup pickled jalapeno slices,pickled jalapeno slices,0.5,cup,
100 g red split lentils,red split lentils,100,g,
"1 onion, chopped",onion,1,,chopped
2 tsp olive oil,olive oil,2,tsp,
"1 clove garlic, finely chopped",garlic,1,clove,finely chopped
2 tbsp curry paste,curry paste,2,tbsp,
"450 g sweet potatoes, peeled and cubed",sweet potatoes,450,g,peeled and cubed
"450 g floury pototoes, peeled and cubed",floury pototoes,450,g,peeled and cubed
1.2 l hot vegetable stock,hot vegetable stock,1.2,l,
2 tbsp chopped mint (optional),chopped mint (optional),2,tbsp,
142 g carton low-fat natural yoghurt,carton low-fat natural yoghurt,142,g,
"warm bread, to serve",warm bread,,,to serve
"2 leeks, trimmed and washed well to remove any grit",leeks,2,,trimmed and washed well to remove any grit
25 g butter,butter,25,g,
"200 g Tenderstem broccoli, trimmed",Tenderstem broccoli,200,g,trimmed
100 g frozen peas,frozen peas,100,g,
"4 tbsp plain flour, plus extra for dusting",plain flour,4,tbsp,plus extra for dusting
400 ml whole milk,whole milk,400,ml,
"4 skinless Scottish salmon fillets, cut into 3 cm chunks",skinless Scottish salmon fillets,4,,cut into 3 cm chunks
4 tbsp light creme fraiche,light creme fraiche,4,tbsp,
finely grated zest of 0.5 lemon,finely grated zest of 0.5 lemon,,,
1x 320 g Jus-Rol puff pastry sheet,Jus-Rol puff pastry sheet,1x,320 g,
"1 egg, beaten",egg,1,,beaten
0.5 tbsp vegetable oil,vegetable oil,0.5,tbsp,
"2 cm knob of ginger, peeled and cut into matchsticks",knob of ginger,2,cm,peeled and cut into matchsticks
"1 clove garlic, chopped",garlic,1,clove,chopped
"0.5 onion, thinly sliced into half moons",onion,0.5,,thinly sliced into half moons
1 tbsp Thai fish sauce,Thai fish sauce,1,tbsp,
0.5 tbsp soft brown sugar,soft brown sugar,0.5,tbsp,
"250 g skinless boneless chicken thighs, trimmed of all fat and cut in half",skinless boneless chicken thighs,250,g,trimmed of all fat and cut in half
125 ml chicken stock,chicken stock,125,ml,
"50 g green beans, trimmed and cut into 2.5 cm lengths",green beans,50,g,trimmed and cut into 2.5 cm lengths
1 tbsp chopped coriander leaf,chopped coriander leaf,1,tbsp,
"steamed rice, to serve",steamed rice,,,to serve
3 mugs pasta,pasta,3,mugs,
500 g minced beef,minced beef,500,g,
1 egg,egg,1,,
1 tsp dried oragano,dried oragano,1,tsp,
"2 slices bread, made into breadcrumbs",bread,2,slices,made into breadcrumbs
salt and pepper,salt and pepper,,,
1 tbsp olive oil,olive oil,1,tbsp,
"1 onion, chopped",onion,1,,chopped
"2 ready-roasted red peppers (from a jar), roughly chopped",ready-roasted red peppers (from a jar),2,,roughly chopped
500 g passata,passata,500,g,
0.5 mug water + 1 beef stock cube,water + 1 beef stock cube,0.5,mug,
200 g mozzarella cheese,mozzarella cheese,200,g,
"1 tbsp fresh thyme leaves, chopped",fresh thyme leaves,1,tbsp,chopped
1 tbsp toasted sesame oil,toasted sesame oil,1,tbsp,
"3 pork steaks, cut into strips",pork steaks,3,,cut into strips
6 spring onions,spring onions,6,,
"1 red pepper, cut into 2 cm chunks",red pepper,1,,cut into 2 cm chunks
"125 g mushrooms, sliced",mushrooms,125,g,sliced
400 ml thick and creamy coconut milk,thick and creamy coconut milk,400,ml,
2 tbsp Thai red curry paste,Thai red curry paste,2,tbsp,
1 tbsp fish sauce,fish sauce,1,tbsp,
"1 can bamboo shoots, drained",bamboo shoots,1,can,drained
1 tsp brown sugar,brown sugar,1,tsp,
2 tbsp freshly chopped coriander,freshly chopped coriander,2,tbsp,
2x 300 g packs fresh rice noodles,fresh rice noodles,2x,300 g packs,
"1 onion, chopped",onion,1,,chopped
"2 cloves garlic, finely chopped",garlic,2,cloves,finely chopped
500 g beef mince,beef mince,500,g,
1x 400 g tin chopped tomatoes,chopped tomatoes,1x,400 g tin,
1 tsp sugar,sugar,1,tsp,
"2 fat red chillis, cut into thin slices",fat red chillis,2,,cut into thin slices
2 tsp cumin,cumin,2,tsp,
1 beef stock cube,beef stock cube,1,,
1 tbsp tomato puree,tomato puree,1,tbsp,
salt and pepper,salt and pepper,,,
1x 400 g tin tomatoes,tomatoes,1x,400 g tin,
1 tbsp tomato puree,tomato puree,1,tbsp,
1 tsp sugar,sugar,1,tsp,
8 corn tortillas,corn tortillas,8,,
300 ml creme fraiche or soured cream,creme fraiche or soured cream,300,ml,
1 tbsp chopped basil,chopped basil,1,tbsp,
1 mug grated cheddar cheese,grated cheddar cheese,1,mug,
2 tbsp olive oil,olive oil,2,tbsp,
"1 avacado, peeled and cut into chunks",avacado,1,,peeled and cut into chunks
juice of lemon,juice of lemon,,,
"3 spring onions, chopped",spring onions,3,,chopped
1 tsp sugar,sugar,1,tsp,
"2 tomatoes, chopped into chunks",tomatoes,2,,chopped into chunks
0.5x 340 g tin sweetcorn,sweetcorn,0.5x,340 g tin,
1 tbsp olive oil,olive oil,1,tbsp,
"2 large onions, halved and thinly sliced",onions,2,large,halved and thinly sliced
"3 cloves garlic, chopped",garlic,3,cloves,chopped
1 tbsp ground cumin,ground cumin,1,tbsp,
2 heaped tsp smoked paprika,smoked paprika,2,heaped tsp,
2 tsp cinnamon,cinnamon,2,tsp,
"2 red chillies, halved deseeded and sliced",red chillies,2,,halved  deseeded and sliced
500 g pork mince,pork mince,500,g,
"2x 200 g packs cooking chorizo sausages, removed from their skins",cooking chorizo sausages,2x,200 g packs,removed from their skins
680 g bottle passata,bottle passata,680,g,
1 pork or chicken stock cube,pork or chicken stock cube,1,,
"4 peppers - 2 red and 2 green, deseeded, quartered and sliced",peppers - 2 red and 2 green,4,,"deseeded, quartered and sliced"
"2x 400 g cans borlotti beans, drained",borlotti beans,2x,400 g cans,drained
"1x 30 g pack coriander, chopped",coriander,1x,30 g pack,chopped
1x 500 g tub fromage frais (not fat-free),fromage frais (not fat-free),1x,500 g tub,
1 large egg,egg,1,large,
2x pack of 8 soft corn tortillas,soft corn tortillas,2x,pack of 8,
"140 g mature cheddar, grated",mature cheddar,140,g,grated
"green salad, to serve",green salad,,,to serve
2 tbsp sunflower oil,sunflower oil,2,tbsp,
"250 g pork fillet, trimmed and cut into stips",pork fillet,250,g,trimmed and cut into stips
"0.5 bunch of spring onions, trimmed and sliced on the diagonal",of spring onions,0.5,bunch,trimmed and sliced on the diagonal
"100 g mangetout, cut lengthways into strips",mangetout,100,g,cut lengthways into strips
1x 150 g pack straight-to-wok noodles,straight-to-wok noodles,1x,150 g pack,
2 tsp cornflour,cornflour,2,tsp,
juice 1 orange,juice 1 orange,,,
3 tbsp soy sauce,soy sauce,3,tbsp,
2 tbsp rice wine or sherry,rice wine or sherry,2,tbsp,
1 tbsp clear honey,clear honey,1,tbsp,
30 g drained capers,drained capers,30,g,
0.5 tsp olive oil,olive oil,0.5,tsp,
200 g spaghetti,spaghetti,200,g,
100 g lighter creme fraiche,lighter creme fraiche,100,g,
zest and juice of &frac12; lemon,zest and juice of &frac12; lemon,,,
"100 g smoked salmon trimmings, chopped",smoked salmon trimmings,100,g,chopped
1x 60 g pack rocket,rocket,1x,60 g pack,
1x 375 g sheet ready-rolled shortcrust pastry,ready-rolled shortcrust pastry,1x,375 g sheet,
2 medium eggs,eggs,2,medium,
"1x 250 g tub Quark, excess liquid drained",Quark,1x,250 g tub,excess liquid drained
zest and juice of 1 lemon,zest and juice of 1 lemon,,,
1 tbsp finely chopped thyme leaves,finely chopped thyme leaves,1,tbsp,
"1x 250 g pack asparagus, trimmed",asparagus,1x,250 g pack,trimmed
1 tbsp extra- virgin olive oil,extra- virgin olive oil,1,tbsp,
1x 110 g pack shredded British ham hock,shredded British ham hock,1x,110 g pack,
"3 spring onions, finely sliced",spring onions,3,,finely sliced
1 tbsp toasted pine nuts,toasted pine nuts,1,tbsp,
"80 g watercress, spinach and rocket","watercress, spinach and rocket",80,g,
1 kg potatoes,potatoes,1,kg,
2 leeks,leeks,2,,
"1 savoy cabbage, shredded",savoy cabbage,1,,shredded
4 pork loin fillet,pork loin fillet,4,,
honey,honey,,,
wholegrain mustard,wholegrain mustard,,,
Tracklements apple and sage jelly,Tracklements apple and sage jelly,,,
2 dried cascabel chiles,dried cascabel chiles,2,,
1 dried ancho or guajillo chile,dried ancho or guajillo chile,1,,
"2 plum tomatoes, halved and cored",plum tomatoes,2,,halved and cored
0.25 small white onion,white onion,0.25,small,
0.25 cup vegetable oil,vegetable oil,0.25,cup,
1 tbsp freshly squeezed orange juice,freshly squeezed orange juice,1,tbsp,
2 tsp freshly squeezed lime juice,freshly squeezed lime juice,2,tsp,
"1-2 chiles de arbol (depending on how much heat you like), stems removed",chiles de arbol (depending on how much heat you like),1-2,,stems removed
3 cloves garlic,garlic,3,cloves,
"1 whole clove, or &frac14; teaspoon ground cloves",whole clove,1,,or &frac14; teaspoon ground cloves
0.5 tsp ground achiote (annatto) seeds,ground achiote (annatto) seeds,0.5,tsp,
pinch of ground cumin,of ground cumin,,pinch,
pinch of dried oregano,of dried oregano,,pinch,
1 tbsp kosher salt,kosher salt,1,tbsp,
"2 lbs pork tenderloin, thinly sliced crosswise then cut into bite-size slices and shreds",pork tenderloin,2,lbs,thinly sliced crosswise then cut into bite-size slices and shreds
Kosher salt,Kosher salt,,,
1 cup small chunks fresh pineapple,small chunks fresh pineapple,1,cup,
2 tsp granulated sugar,granulated sugar,2,tsp,
12 corn tortillas,corn tortillas,12,,
"2 tbsp vegetable oil, plus more as needed",vegetable oil,2,tbsp,plus more as needed
"Minced white onion and chopped fresh cilantro, in separate bowls, for topping","Minced white onion and chopped fresh cilantro, in separate bowls, for topping",,,
"Hot sauce and lime wedges, for topping","Hot sauce and lime wedges, for topping",,,
700 g baby potatoes,baby potatoes,700,g,
400 g Tenderstem or regular broccoli,Tenderstem or regular broccoli,400,g,
2 tsp vegetable oil,vegetable oil,2,tsp,
2x 250 g packs lean bacon loin steaks,lean bacon loin steaks,2x,250 g packs,
4 tbsps clear honey,clear honey,4,tbsps,
4 tbsps wholegrain mustard,wholegrain mustard,4,tbsps,
2 tsp butter,butter,2,tsp,
"6 spring onions, chopped",spring onions,6,,chopped
"2x 198 g tin sweetcorn, drained",sweetcorn,2x,198 g tin,drained
1 low-salt vegetable stock cube,low-salt vegetable stock cube,1,,
2 nests medium egg noodles,medium egg noodles,2,nests,
"1 small head broccoli, broken into florets",broccoli,1,small head,broken into florets
"1 tbsp sesame oil, plus extra to serve",sesame oil,1,tbsp,plus extra to serve
"1x 250 g pack shiitake or chestnut mushroom, thickly sliced",shiitake or chestnut mushroom,1x,250 g pack,thickly sliced
"1 fat clove garlic, finely chopped",garlic,1,fat clove,finely chopped
"0.5 tsp chilli flakes, or crumble one dried chilli into pieces",chilli flakes,0.5,tsp,or crumble one dried chilli into pieces
"4 spring onions, thinly sliced",spring onions,4,,thinly sliced
2 tbsp hoisin sauce,hoisin sauce,2,tbsp,
handful roasted cashew nuts,roasted cashew nuts,,handful,
1 cup warm water,warm water,1,cup,
2.25 teaspoons instant dry yeast,instant dry yeast,2.25,teaspoons,
1 teaspoon granulated sugar,granulated sugar,1,teaspoon,
2.25 cups all-purpose flour,all-purpose flour,2.25,cups,
1 teaspoon sea salt,sea salt,1,teaspoon,
"3 tablespoons olive oil, (divided + more for drizzling)",olive oil,3,tablespoons,(divided + more for drizzling)
"2 tablespoons olive oil, (divided)",olive oil,2,tablespoons,(divided)
"1 medium onion, finely chopped",onion,1,medium,finely chopped
"4 cloves garlic, minced",garlic,4,cloves,minced
8 ounces cremini or white button mushrooms,cremini or white button mushrooms,8,ounces,
"1 large red bell pepper, de-seeded, quartered and thinly sliced",red bell pepper,1,large,"de-seeded, quartered and thinly sliced"
"5 oz spinach leaf, (washed and pat dried)",spinach leaf,5,oz,(washed and pat dried)
"0.75 cup feta cheese, crumbled",feta cheese,0.75,cup,crumbled
1 teaspoon aleppo pepper,aleppo pepper,1,teaspoon,
"Salt and freshly ground black pepper,, to taste","Salt and freshly ground black pepper,",,,to taste
1 beaten egg,beaten egg,1,,
1 tablespoon olive oil (to brush the pide),olive oil (to brush the pide),1,tablespoon,
1x 500 g carton Neapolitan sauce,Neapolitan sauce,1x,500 g carton,
good handful fresh basil leaves,fresh basil leaves,,good handful,
250 g fresh stuffed spinach and riccota tortellini,fresh stuffed spinach and riccota tortellini,250,g,
"100 g mozzarella cheese, sliced",mozzarella cheese,100,g,sliced
2 tbsp freshly grated parmesan cheese,freshly grated parmesan cheese,2,tbsp,
1 tbsp pine nuts,pine nuts,1,tbsp,
1 tbsp olive oil,olive oil,1,tbsp,
50 g Thai curry paste (green or red),Thai curry paste (green or red),50,g,
"750 g mixed root vegetables (such as carrot, swede, turnip), peeled and chopped","mixed root vegetables (such as carrot, swede, turnip)",750,g,peeled and chopped
"160 ml coconut cream (or 75 g creamed coconut, broken into pieces)","coconut cream (or 75 g creamed coconut, broken into pieces)",160,ml,
"750 ml vegetable stock, made from stock cube",vegetable stock,750,ml,made from stock cube
200 g rice,rice,200,g,
salt and black pepper,salt and black pepper,,,
