input,name,quantity,unit,preparation,comment
8 sprigs flatleaf parsley to garnish,flatleaf parsley,8,sprigs,,to garnish
"1 lemon, sliced",lemon,1,,sliced,
"75g/3oz chilled unsalted butter, diced",unsalted butter,75 3,g oz,"chilled, diced",/
"2 baby aubergines, chopped",baby aubergines,2,,chopped,
"300g/10½oz smoked mackerel, skin and bones removed",smoked mackerel,300 10.5,g oz,skin and bones removed,/
2 thick slices toast,toast,2,thick slice,,
300g/10½oz Stilton,Stilton,300 10.5,g oz,,/
"500g/1lb 2oz sweet potatoes, peeled, finely cubed (4 thin slices reserved for sweet potato crisps, see below)",sweet potatoes,500 1 2,g lb oz,"peeled, finely cubed","(4 thin slices reserved for sweet potato crisps, see below) /"
550g/1lb 4oz whole hazelnuts,whole hazelnuts,550 1 4,g lb oz,,/
"dill, chopped, to garnish",dill,,,chopped,to garnish
100g/3½oz shio koji,shio koji,100 3.5,g oz,,/
"2 sprigs dill, chopped",dill,2,sprigs,chopped,
4 handfuls green beans,green beans,4,handful,,
"250g/9oz carrots, finely shredded on a mandoline",carrots,250 9,g oz,finely shredded on a mandoline,/
"110g/4oz prunes stones removed, chopped",prunes stones removed,110 4,g oz,chopped,/
"2 ripe figs, cut into quarters",ripe figs,2,,cut into quarters,
"4 lemongrass stalks, tender part only, finely chopped",lemongrass,4,stalks,finely chopped,tender part only
600ml/1 pint 1fl oz milk,milk,600 1 1,ml pint fl oz,,/
"50g/1¾oz unsalted pistachios, shells removed, chopped, plus extra to sprinkle on top",unsalted pistachios,50 1.75,g oz,"shells removed, chopped",plus extra to sprinkle on top /
"4-5 cardamom pods, crushed",cardamom pods,4-5,,crushed,
"150g/5oz sea kale, cut into 5cm/2in batons",sea kale,150 5,g oz,cut into 5 cm / 2 in batons,/
2½ tsp instant coffee granules,instant coffee granules,2.5,tsp,,
"½ carrot, finely chopped",carrot,0.5,,finely chopped,
"1 skinless, boneless pork shoulder","skinless, boneless pork shoulder",1,,,
1 free-range chicken,free-range chicken,1,,,
"1 garlic bulb, cut in half across the middle",garlic,1,bulb,cut in half across the middle,
"800g/1¾lb rhubarb stems, trimmed, cut into 5cm/2in pieces (1cm/½in thick)",rhubarb stems,800 1.75,g lb,"trimmed, cut into 5 cm / 2 in pieces",/ (1 cm / 0.5 in thick)
"6 thyme sprigs, roughly chopped",thyme,6,sprigs,roughly chopped,
"1 lemon, juice and segments",lemon,1,,,juice and segments
2 tsp horseradish cream,horseradish cream,2,tsp,,
"1 tomato, deseeded, finely chopped",tomato,1,,"deseeded, finely chopped",
"½ cucumber, sliced",cucumber,0.5,,sliced,
360g/12oz cream cheese,cream cheese,360 12,g oz,,/
"1 medium turnip, diced",turnip,1,medium,diced,
grating of mace,mace,,,,grating of
"12 large langoustines, peeled",langoustines,12,large,peeled,
56g/2oz plain flour,plain flour,56 2,g oz,,/
800g/1lb 12oz water buffalo fillet (remove from the fridge an hour before cooking so that the meat reaches room temperature),water buffalo fillet,800 1 12,g lb oz,,(remove from the fridge an hour before cooking so that the meat reaches room temperature) /
"2 large leeks, cut into 5cm/2in pieces",leeks,2,large,cut into 5 cm / 2 in pieces,
1-2 tsp ground cumin,ground cumin,1-2,tsp,,
"1 small peeled ripe banana,chopped, frozen",ripe banana,1,small,"peeled, chopped",frozen
"½ mango, stone removed, sliced",mango,0.5,,"stone removed, sliced",
2 tbsp dashi stock (available from some large supermarkets),dashi stock,2,tbsp,,(available from some large supermarkets)
"½ red chilli, deseeded and finley chopped",red chilli,0.5,,deseeded and finley chopped,
200g/7oz salmon,salmon,200 7,g oz,,/
12 razor clams,razor clams,12,,,
25g/1fl oz rapeseed oil,rapeseed oil,25 1,g fl oz,,/
25g/1oz butterbeans,butterbeans,25 1,g oz,,/
"2 sprigs fresh rosemary, leaves only, chopped",fresh rosemary,2,sprigs,chopped,leaves only
"6 garlic cloves, cut in half",garlic,6,clove,cut in half,
150g/5½oz fresh blackcurrants,fresh blackcurrants,150 5.5,g oz,,/
3 tbsp red wine vinegar or sherry vinegar,red wine vinegar or sherry vinegar,3,tbsp,,
"raspberries and mint leaves, to decorate",raspberries and mint leaves,,,,to decorate
15g/½oz golden linseeds,golden linseeds,15 0.5,g oz,,/
"2 cooked chicken breasts, finely sliced",chicken breasts,2,,"cooked, finely sliced",
silver edible glitter (optional),silver edible glitter,,,,(optional)
20 baby mozzarella balls,baby mozzarella balls,20,,,
"chives, chopped to garnish",chives,,,chopped,to garnish
350ml/12fl oz white wine,white wine,350 12,ml fl oz,,/
"100g/3½oz pine nuts, lightly toasted and roughly chopped",pine nuts,100 3.5,g oz,lightly toasted and roughly chopped,/
60g/2oz sultanas,sultanas,60 2,g oz,,/
"3 tomatoes, diced",tomatoes,3,,diced,
"2 red chillies, cut into thin slices",red chillies,2,,cut into thin slices,
1 small bunch of mint leaves only,mint leaves only,1,small bunch,,of
"50g/2oz button mushrooms, sliced",button mushrooms,50 2,g oz,sliced,/
400ml/14fl oz sparkling water,sparkling water,400 14,ml fl oz,,/
"4 king prawns,cooked and peeled, tails left on",king prawns,4,,"cooked and peeled, tails left on",
2 fresh figs,fresh figs,2,,,
"2 John Dory fillets, skin removed",John Dory fillets,2,,skin removed,
125g/4oz real (i.e. Greek not Danish) feta cheese,"real, feta cheese",125 4,g oz,,(i.e. Greek not Danish) /
"3 slices bacon, finely chopped",bacon,3,slice,finely chopped,
"80g/3oz pancetta, chopped",pancetta,80 3,g oz,chopped,/
1 head black kale (cavolo nero),black kale,1,head,,(cavolo nero) 
12 large field mushrooms,field mushrooms,12,large,,
75ml/2½fl oz red wine,red wine,75 2.5,ml fl oz,,/
"2 cooked lobsters, meat picked out, shells reserved",cooked lobsters,2,,"meat picked out, shells reserved",
148ml carton double cream,carton double cream,148,ml,,
"1 cauliflower, broken into small florets",cauliflower,1,,broken into small florets,
4-5 tbsp chopped fresh coriander,fresh coriander,4-5,tbsp,chopped,
100ml/3½fl oz beef stock,beef stock,100 3.5,ml fl oz,,/
"100g/3½oz butter, cut into cubes",butter,100 3.5,g oz,cut into cubes,/
1 tsp vinegar (such as white wine vinegar),vinegar,1,tsp,,(such as white wine vinegar)
oil for frying,oil,,,,for frying
"200g/7oz mangetout, halved lengthways",mangetout,200 7,g oz,halved lengthways,/
200g/7oz frozen mixed vegetables,frozen mixed vegetables,200 7,g oz,,/
shichimi togarashi (Japanese seven-spice seasoning),shichimi togarashi,,,,(Japanese 7 spice seasoning)
100ml/3½fl oz orange liqueur,orange liqueur,100 3.5,ml fl oz,,/
"1 spring onion, trimmed, finely chopped",spring onion,1,,"trimmed, finely chopped",
"350g/12oz (4 small) chicken thighs, deboned, skinned and cut into 1x2.5cm/½x1in strips",chicken thighs,350 12 4,g oz small,"deboned, skinned and cut into 1 x 2.5 cm / 0.5 x 1 in strips",/ ()
4 razor clams,razor clams,4,,,
"1kg/2lb 3oz mutton, minced",mutton,1 2 3,kg lb oz,minced,/
3 slices bread,bread,3,slice,,
100g/3½oz Puy lentils,Puy lentils,100 3.5,g oz,,/
"3 garlic cloves, skin on, crushed",garlic,3,clove,"skin on, crushed",
"dripping or vegetable oil, for deep frying",dripping or vegetable oil,,,,for deep frying
400ml/14¼fl oz vegetable oil,vegetable oil,400 14.25,ml fl oz,,/
"5-6 sprigs rosemary, leaves only",rosemary,5-6,sprigs,,leaves only
"200ml/7fl oz plain cows', sheep's, goats' yoghurt OR soya yoghurt",plain cows',200 7,ml fl oz,,"sheep's, goats' yoghurt OR soya yoghurt /"
1 tsp red chilli,red chilli,1,tsp,,
"30g/1oz cocoa, sifted",cocoa,30 1,g oz,sifted,/
55g/2oz long grain rice,long grain rice,55 2,g oz,,/
small handful fresh watercress,fresh watercress,,small handful,,
"200g/7oz butter, melted and cooled",butter,200 7,g oz,melted and cooled,/
1 heaped tbsp lightly chopped chervil,chervil,1,heaped tbsp,lightly chopped,
2 tsp dried thyme,dried thyme,2,tsp,,
pinch celery salt,celery salt,,pinch,,
"½ banana shallot, roughly chopped",banana shallot,0.5,,roughly chopped,
4 tsp grated lime zest,lime zest,4,tsp,grated,
50g/1¾oz pistachios,pistachios,50 1.75,g oz,,/
"2 x 170g/6oz can white crab meat, drained and flaked",white crab meat,2 x 170 6,can g oz,drained and flaked,/
"125g/4½oz butter, melted",butter,125 4.5,g oz,melted,/
green food colouring (optional),green food colouring,,,,(optional)
"1 vanilla pod, halved lengthways, seeds removed",vanilla pod,1,,"halved lengthways, seeds removed",
"2 spring onions, thinly sliced",spring onions,2,,thinly sliced,
"2 cherry tomatoes, chopped",cherry tomatoes,2,,chopped,
"500g/1lb 2oz basmati rice, rinsed and drained",basmati rice,500 1 2,g lb oz,rinsed and drained,/
"100g/3½oz green beans, blanched and refreshed",green beans,100 3.5,g oz,blanched and refreshed,/
40g/1½oz fresh white breadcrumbs (preferably sourdough),fresh white breadcrumbs,40 1.5,g oz,,(preferably sourdough) /
1 tbsp Worcestershire sauce,Worcestershire sauce,1,tbsp,,
140ml/5fl oz carton double cream,carton double cream,140 5,ml fl oz,,/
425ml/15fl oz stout,stout,425 15,ml fl oz,,/
100ml/3½fl oz strong espresso,strong espresso,100 3.5,ml fl oz,,/
1 tbsp light olive oil,light olive oil,1,tbsp,,
350ml/12fl oz hot beef stock (made with 1 stock cube),hot beef stock,350 12,ml fl oz,,(made with 1 stock cube) /
50g/2oz lamb's lettuce,lamb's lettuce,50 2,g oz,,/
"½ medium onion, chopped",onion,0.5,medium,chopped,
"3 fresh water chestnuts, peeled (alternatively use canned chestnuts if fresh unavailable)",fresh water chestnuts,3,,peeled,(alternatively use canned chestnuts if fresh unavailable)
2 tsp vanilla essence,vanilla essence,2,tsp,,
"1 large carrot (roughly 120g/4½oz), cut into roughly 1.5cm/½in slices",carrot,1 120 4.5,large g oz,cut into roughly 1.5 cm / 0.5 in slices,( ) roughly /
500ml/18fl oz whipping cream,whipping cream,500 18,ml fl oz,,/
"300g/10½oz white cabbage, finely shredded",white cabbage,300 10.5,g oz,finely shredded,/
1½ tsp crushed sea salt,crushed sea salt,1.5,tsp,,
4 tbsp roasted peanuts,roasted peanuts,4,tbsp,,
"2 x 400g/14oz tinned cannellini beans, drained and rinsed",tinned cannellini beans,2 x 400 14,g oz,drained and rinsed,/
sprig of fresh parsley,fresh parsley,,sprig,,of
8-10 thin rashers good quality smoked streaky bacon,smoked streaky bacon,8-10,thin rashers,,good quality
"120g/4½oz ready-to-eat dried apricots, chopped and soaked in orange juice",ready-to-eat dried apricots,120 4.5,g oz,chopped and soaked in orange juice,/
2 tbsp honey,honey,2,tbsp,,
"2-3 sprigs fresh thyme, leaves only",fresh thyme,2-3,sprig,,leaves only
"40g/1½oz butter, softened",butter,40 1.5,g oz,softened,/
50g/1¾oz dried cranberries,dried cranberries,50 1.75,g oz,,/
25g/1oz creamed coconut,creamed coconut,25 1,g oz,,/
"1 stick lemongrass, outer leaves removed, chopped",lemongrass,1,stick,"outer leaves removed, chopped",
"250ml/9fl oz double cream, whipped until stiff peaks form when the whisk is removed",double cream,250 9,ml fl oz,whipped until stiff peaks form when the whisk is removed,/
½ tbsp chilli powder,chilli powder,0.5,tbsp,,
"225g/8oz baking spread, straight from the fridge, or butter at room temperature, plus extra for greasing",baking spread,225 8,g oz,at room temperature,"straight from the fridge, or butter, plus extra for greasing /"
100g/3½oz orange chocolate,orange chocolate,100 3.5,g oz,,/
75ml/2½fl oz elderflower cordial,elderflower cordial,75 2.5,ml fl oz,,/
"400g/14oz icing sugar, sifted",icing sugar,400 14,g oz,sifted,/
"4 fresh large plum tomatoes, chopped",fresh plum tomatoes,4,large,chopped,
"4 squab pigeons, spatchcocked",squab pigeons,4,,spatchcocked,
"2 tbsp melted butter, to baste",butter,2,tbsp,melted,to baste
"5cm/2in piece ginger, roughly chopped",ginger,5 2,cm in piece,roughly chopped,/
"1 bundle of asparagus, stems trimmed",asparagus,1,bundle,stems trimmed,of bundle
"200g-250g/7-9oz fillet steak, finely sliced into 0.25cm strips",fillet steak,200-250 7-9,g g oz,finely sliced into 0.25 cm strips,/
small handful pine nuts,pine nuts,,small handful,,
"few allspice berries, lightly crushed",allspice berries,few,,lightly crushed,
small handful chopped Alexander leaves (optional),Alexander leaves,,small handful,chopped,(optional)
2 tbsp raisins,raisins,2,tbsp,,
"10 shallots, peeled",shallots,10,,peeled,
½ oz (10 g) dried morels or porcini,dried morels or porcini,0.5 10,oz g,,( )
2½ tbsp tomato purée,tomato purée,2.5,tbsp,,
"2 large carrots, trimmed, cut into long, thin batons (these should resemble French fries in size and shape)",carrots,2,large,"trimmed, cut into long thin batons ",(these should resemble French fries in size and shape)
"70g/2½oz caster sugar, plus a little extra",caster sugar,70 2.5,g oz,,plus a little extra/
"20 king prawns, shells removed",king prawns,20,,shells removed,
35ml/1½fl oz white rum,white rum,35 1.5,ml fl oz,,/
"2 tbsp roughly chopped mint leaves, stalks reserved",mint leaves,2,tbsp,"roughly chopped, stalks reserved",
2 tsp medium curry powder,curry powder,2,tsp medium,,
"2 ripe bananas, peeled and chopped",ripe bananas,2,,peeled and chopped,
1 sprig fresh tarragon,fresh tarragon,1,sprig,,
425ml/3/4pt fresh strong black coffee,fresh strong black coffee,425 0.75,ml pt,,/
"Butter, for greasing",Butter,,,,for greasing
"3 gelatine leaves, soaked in cold water for 10 minutes",gelatine leaves,3,,soaked in cold water for 10 minutes,
"400g/14oz blanched lobster flesh, made up of 4 claws and 2 tails",lobster flesh,400 14,g oz,"blanched, made up of 4 claws and 2 tails",/
"3 free-range eggs, hardboiled in their shells with red food colouring",free-range eggs,3,,hardboiled in their shells with red food colouring,
"1 stalk lemongrass, lightly crushed with the edge of a knife",lemongrass,1,stalk,lightly crushed with the edge of a knife,
30g//1oz gorgonzola cheese,gorgonzola cheese,30 1,g oz,,/ /
"100g/3½oz white chocolate, melted",white chocolate,100 3.5,g oz,melted,/
"1 bunch baby turnips, trimmed and thinly sliced",baby turnips,1,bunch,trimmed and thinly sliced,
sprig fresh coriander,fresh coriander,,sprig,,
1 tbsp full-fat milk,full-fat milk,1,tbsp,,
"1 potato, peeled and sliced finely on a mandoline",potato,1,,peeled and sliced finely on a mandoline,
½ Scotch bonnet chilli,Scotch bonnet chilli,0.5,,,
"1 orange, freshly squeezed juice only",orange,1,,freshly squeezed juice only,
"1 onion, cut into wedges",onion,1,,cut into wedges,
"½ tsp garlic, chopped",garlic,0.5,tsp,chopped,
"2 sticks lemongrass, peeled and bruised",lemongrass,2,sticks,peeled and bruised,
"500g/1lb 2oz leeks, sliced",leeks,500 1 2,g lb oz,sliced,/
300ml/½ pint sour cream or light cream,sour cream or light cream,300 0.5,ml pint,,/
"225g/8oz green beans, cooked",green beans,225 8,g oz,cooked,/
"4 cherry tomatoes, skinned",cherry tomatoes,4,,skinned,
"1 x 1.5kg/3lb 5oz chicken, jointed into 8 pieces",chicken,1 x 1.5 3 5,kg lb oz,jointed into 8 pieces,/
"small bunch fresh chervil, to garnish",fresh chervil,,small bunch,,to garnish bunch
7.5ml/1½ tsp vanilla essence,vanilla essence,7.5 1.5,ml tsp,,/
250g/9oz cranberry sauce,cranberry sauce,250 9,g oz,,/
"3 celery sticks, roughly chopped",celery,3,sticks,roughly chopped,
"50g/1¾oz dried cranberries, chopped if large",dried cranberries,50 1.75,g oz,chopped if large,/
150g/5¼oz salmon steak,salmon steak,150 5.25,g oz,,/
"510g/1lb 2oz plain flour, plus extra for flouring",plain flour,510 1 2,g lb oz,,plus extra for flouring /
4 twists lemon peel,lemon peel,4,twists,,
1 large red chilli,red chilli,1,large,,
24 crostini or mini Melba toasts,crostini or mini Melba toasts,24,,,
"1 small baguette, thinly sliced",baguette,1,small,thinly sliced,
"2 small courgettes, sliced lengthways finely",courgettes,2,small,sliced lengthways finely,
"4 slices sourdough, toasted, to serve",sourdough,4,slice,toasted,to serve
15 quails’ eggs,quails’ eggs,15,,,
"50g/1¾oz chestnuts, peeled, chopped",chestnuts,50 1.75,g oz,"peeled, chopped",/
1.15kg/2½lb lamb shoulder,lamb shoulder,1.15 2.5,kg lb,,/
150g/5½oz Greek yoghurt,Greek yoghurt,150 5.5,g oz,,/
90ml/6 tbsp olive oil,olive oil,90 6,ml tbsp,,/
"2 raw king prawns, deveined",raw king prawns,2,,deveined,
"30 queen scallops, roes removed and reserved",queen scallops,30,,roes removed and reserved,
handful seasonal salad leaves,seasonal salad leaves,,handful,,
125ml/4fl oz fish or vegetable stock,fish or vegetable stock,125 4,ml fl oz,,/
400g/14oz fresh raspberries,fresh raspberries,400 14,g oz,,/
"200g/7oz unsalted butter, softened, plus extra for greasing the tins",unsalted butter,200 7,g oz,softened,plus extra for greasing the tins/
400g/14fl oz can condensed milk,condensed milk,400 14,g fl oz can,,/
15 fresh cherries,fresh cherries,15,,,
1-2 tbsp rapeseed oil or vegetable oil,rapeseed oil or vegetable oil,1-2,tbsp,,
"25g/1oz parmesan cheese, freshly grated",parmesan cheese,25 1,g oz,freshly grated,/
"400g/14oz strawberries, hulled and roughly chopped",strawberries,400 14,g oz,hulled and roughly chopped,/
1 baby aubergine,baby aubergine,1,,,
50ml/3½ tbsp dark rum,dark rum,50 3.5,ml tbsp,,/
"110g/4oz spaghetti, cooked according to packet instructions",spaghetti,110 4,g oz,cooked according to packet instructions,/
4 litres/7 pints¾fl oz beef stock,beef stock,4 7 0.75,litre pint fl oz,,/
"100g/3½oz cherry tomatoes, chopped",cherry tomatoes,100 3.5,g oz,chopped,/
"2cm/¾in fresh root ginger, peeled and finely chopped",fresh root ginger,2 0.75,cm in,peeled and finely chopped,/
4 tbsp dark soy sauce,dark soy sauce,4,tbsp,,
3 large pinches of smoked paprika,smoked paprika,3,large pinches,,of
1 tsp piment d’Espelette,piment d’Espelette,1,tsp,,
2 tsp grated ginger,ginger,2,tsp,grated,
"4 small chicken breasts, without skin or bone",chicken breasts,4,small,,without skin or bone
1 tsp finely chopped ginger,ginger,1,tsp,finely chopped,
"15g/½oz chunk fresh root ginger, finely chopped",fresh root ginger,15 0.5,g oz chunk,finely chopped,/
"1 tbsp tarragon, finely chopped",tarragon,1,tbsp,finely chopped,
"1 pork chop, fat removed",pork chop,1,,fat removed,
"3 spring onions, finely shredded",spring onions,3,,finely shredded,
pinch allspice,allspice,,pinch,,
"4 limes, finely grated zest only",limes,4,,finely grated zest only,
"¼ watermelon, peeled and sliced",watermelon,0.25,,peeled and sliced,
"400g/14oz mussels, scrubbed and debearded (discard any mussels with broken shells and any that refuse to close when tapped)",mussels,400 14,g oz,scrubbed and debearded discard any mussels with broken shells and,any that refuse to close when tapped/ ( )
sprig of rosemary,rosemary,,sprig,,of
1 bouquet garni,bouquet garni,1,,,
"300g/11oz fresh white crab meat, picked",fresh white crab meat,300 11,g oz,picked,/
10 strawberries,strawberries,10,,,
"paprika, for sprinkling",paprika,,,,for sprinkling
"150g/5½oz coconut biscuits, crushed",coconut biscuits,150 5.5,g oz,crushed,/
30g/1oz fresh pomegranate seeds,fresh pomegranate seeds,30 1,g oz,,/
a few cloves,a few cloves,,,,
2 tsp cracked black peppercorns,black peppercorns,2,tsp,cracked,
3g salt,salt,3,g,,
"2.25kg/5lb lard, diced",lard,2.25 5,kg lb,diced,/
"70g/2½oz unsalted butter, cubed",unsalted butter,70 2.5,g oz,cubed,/
"1 small green pepper, seeds removed, finely chopped",green pepper,1,small,"seeds removed, finely chopped",
"1 garlic clove, smashed and left whole",garlic,1,clove,smashed and left whole,
55g/2oz sunflower seeds,sunflower seeds,55 2,g oz,,/
"300g/10½oz baked potatoes, cooked and cooled, flesh pushed through a ricer or sieve",baked potatoes,300 10.5,g oz,"cooked and cooled, flesh pushed through a ricer or sieve",/
"55g/2oz peas, blanched",peas,55 2,g oz,blanched,/
60g/2¼oz honey,honey,60 2.25,g oz,,/
good olive oil and balsamic vinegar,olive oil and balsamic vinegar,,good,,
1 rounded tsp xanthan gum,xanthan gum,1,rounded tsp,,
65g/2¼oz shredded suet,suet,65 2.25,g oz,shredded,/
"140g/5oz cold butter, diced",butter,140 5,g oz,"cold, diced",/
2 heaped tsp ground cumin,ground cumin,2,heaped tsp,,
1 tbsp dry sherry or rice wine,dry sherry or rice wine,1,tbsp,,
"1 chicken with giblets (if giblets available, chopped)",chicken with giblets,1,,chopped,if giblets available ()
"135g/4¾oz pack raspberry jelly, cut into cubes",raspberry jelly,135 4.75,g oz packs,cut into cubes,/
flat leaf parsley chopped,flat leaf parsley,,,chopped,
"2 bananas, peeled and cut in half",bananas,2,,peeled and cut in half,
rocket salad,rocket salad,,,,
1 tsp fast-action dried yeast,fast-action dried yeast,1,tsp,,
"1 round courgette, top sliced off and flesh scooped out",round courgette,1,,top sliced off and flesh scooped out,
"¼ onion, peeled",onion,0.25,,peeled,
"1 orange, grated zest only",orange,1,,grated zest only,
"125ml/4½fl oz pomegranate molasses, plus extra to taste",pomegranate molasses,125 4.5,ml fl oz,,plus extra to taste/
25g/1oz white sesame seeds,white sesame seeds,25 1,g oz,,/
35g/1¼oz capers,capers,35 1.25,g oz,,/
"vegetable oil, to shallow fry",vegetable oil,,,,to shallow fry
2 racks of lamb (8 bones in each),lamb,2,racks,,"of, (8 bones in each)"
4 tbsp finely chopped fresh thyme,fresh thyme,4,tbsp,finely chopped,
60g/2½oz cornflour,cornflour,60 2.5,g oz,,/
1 piece of beef fillet - approx 1.35kg/ 3lb,beef fillet,1 1.35 3,piece kg lb,,"of, - approx piece /"
5 tbsp porridge oats,porridge oats,5,tbsp,,
30ml/1fl oz beef stock,beef stock,30 1,ml fl oz,,/
"110g/4oz Flower Marie (ewes' milk cheese), half crumbled and half very finely diced",Flower Marie,110 4,g oz,half crumbled and half very finely diced,(ewes' milk cheese)/
"110g/4oz Kasseri cheese (cheddar will do), grated",Kasseri cheese,110 4,g oz,grated,(cheddar will do)/
"1kg/2lb 4oz floury potatoes, such as Maris Piper or King Edwards, cut into 3cm/1¼in cubes",floury potatoes,1 2 4,kg lb oz,cut into 3 cm / 1.25 in cubes,/ such as Maris Piper or King Edwards
4-5 green chillies,green chillies,4-5,,,
2 x 390g jars black cherries in kirsch (500g/1lb 2oz drained weight),black cherries,2 500 1 x 390,g lb jars g,,"in kirsch (, 2 oz drained weight) /"
5 drops vanilla extract,vanilla extract,5,drop,,
"3cm/1¼in piece fresh root ginger, peeled and cut into thin matchsticks",fresh root ginger,3 1.25,cm in piece,peeled and cut into thin matchsticks,/
"25g/1oz skinned whole hazelnuts, finely chopped",whole hazelnuts,25 1,g oz,"skinned, finely chopped",/
"½ cucumber, cut into 5cm/2in lengths, seeds removed, julienned",cucumber,0.5,,"cut into 5 cm / 2 in lengths, seeds removed, julienned",
"450ml/16fl oz brown ale, at room temperature",brown ale,450 16,ml fl oz,at room temperature,/
4g ground black pepper,ground black pepper,4,g,,
100ml/4fl oz whipping cream,whipping cream,100 4,ml fl oz,,/
270g/10oz shop-bought filo pastry,shop-bought filo pastry,270 10,g oz,,/
"120ml/4fl oz extra virgin olive oil (you can use mustard oil, peanut oil or vegetable oil)",extra virgin olive oil,120 4,ml fl oz,,"(you can use mustard oil, peanut oil or vegetable oil) /"
35g/1¼oz Stilton cheese,Stilton cheese,35 1.25,g oz,,/
"½ x 400g/14oz can plum tomatoes, chopped",plum tomatoes,0.5 x 400 14,can g oz,chopped,/
"150g/5½oz radishes, thinly sliced",radishes,150 5.5,g oz,thinly sliced,/
½ a leg of mutton or a kilo of stewing lamb,leg of mutton,0.5,,,a or a kilo of stewing lamb
1 strip orange zest,orange zest,1,strip,,
"clotted cream or double cream, to serve",clotted cream or double cream,,,,to serve
1 egg yolk,egg yolk,1,,,
100g/4oz medium bulgar wheat,bulgar wheat,100 4,g oz medium,,/
"¼ small celeriac, peeled",celeriac,0.25,small,peeled,
6 baby carrots,baby carrots,6,,,
10 cardamom pods,cardamom pods,10,,,
110-150ml/4-5fl oz cold water,water,110-150 4-5,ml fl oz,cold,/
"about 3 tbsp apricot jam, warmed and sieved",apricot jam,3,tbsp,warmed and sieved,about
4 tsp English mustard,English mustard,4,tsp,,
"125g/4½oz butter, softened",butter,125 4.5,g oz,softened,/
85g/3oz rocket,rocket,85 3,g oz,,/
"4 medium carrots, peeled and left whole",carrots,4,medium,peeled and left whole,
"4 squab pigeons, cleaned, with livers",squab pigeons,4,,cleaned,with livers
1 tbsp fermented shrimp paste,fermented shrimp paste,1,tbsp,,
"200g/7oz rhubarb, sliced into 1cm/ ½in pieces",rhubarb,200 7,g oz,sliced into 1 cm / 0.5 in pieces,/
2 skate wings,skate wings,2,,,
200g/7oz '00' pasta flour,'00' pasta flour,200 7,g oz,,/
275ml/10fl oz water,water,275 10,ml fl oz,,/
"50g/2oz hazelnuts, skins removed, roasted and chopped, plus 8 whole hazelnuts, to serve",hazelnuts,50 2,g oz,"skins removed, roasted and chopped","plus 8 whole hazelnuts, to serve /"
1 lemon grass stalk,lemon grass stalk,1,,,
1 tbsp port,port,1,tbsp,,
"2 x 250g/9oz punnets fresh strawberries, hulls removed, cut in half, to serve",punnets fresh strawberries,2 x 250 9,g oz,"hulls removed, cut in half",to serve /
flour for dusting,flour,,,,for dusting
"4 large vine-ripened tomatoes, each cut into 8 slices",vine-ripened tomatoes,4,large,cut into 8 slices,each
"15g/½oz unsalted butter, plus extra for greasing",unsalted butter,15 0.5,g oz,,plus extra for greasing/
"handful of fresh flatleaf parsley, roughly torn",fresh flatleaf parsley,,handful,roughly torn,of handful
800g/1lb 14oz '00' flour,'00' flour,800 1 14,g lb oz,,/
1kg/2lb 3oz pork bones,pork bones,1 2 3,kg lb oz,,/
crispy shallot rings,crispy shallot rings,,,,
"750g/1½lb fennel bulbs, trimmed, halved, trimmings reserved",fennel,750 1.5,g lb bulb,"trimmed, halved, trimmings reserved",/
"225g/8oz skinless, boneless haddock fillet","skinless, boneless haddock fillet",225 8,g oz,,/
1 tbsp fresh lime juice,fresh lime juice,1,tbsp,,
175g/6oz breadcrumbs,breadcrumbs,175 6,g oz,,/
"250g/9oz un-dyed smoked haddock fillets, skin on",un-dyed smoked haddock fillets,250 9,g oz,skin on,/
½ miniature bottle rum,rum,0.5,miniature bottles,,
"1kg/2lb 3¼oz strawberries, cleaned and sliced",strawberries,1 2 3.25,kg lb oz,cleaned and sliced,/
150g/5½oz rigatoni or penne pasta,rigatoni or penne pasta,150 5.5,g oz,,/
"40g/1½oz unsalted butter, fridge-cold and cut into 2cm/¾in cubes, plus extra, melted, for greasing",unsalted butter,40 1.5,g oz,"fridge-cold and cut into 2 cm / 0.75 in cubes, melted","/ plus extra, for greasing"
225g/8oz fresh thin egg noodles (substitute dried egg noodles if unavailable),fresh thin egg noodles,225 8,g oz,,(substitute dried egg noodles if unavailable) /
"1 baguette, warmed and sliced (optional)",baguette,1,,warmed and sliced,(optional)
"1 large knob fresh root ginger, finely chopped",fresh root ginger,1,large knob,finely chopped,
100g/3½oz dark chocolate,dark chocolate,100 3.5,g oz,,/
"2 bunches of spring onions, trimmed, thinly sliced",spring onions,2,bunch,"trimmed, thinly sliced",of
300g/10½oz prunes,prunes,300 10.5,g oz,,/
"1 tbsp cashew nuts, lightly toasted",cashew nuts,1,tbsp,lightly toasted,
"1 whole rabbit including legs, jointed, diced, including bone",whole rabbit including legs,1,,"jointed, diced",including bone
"1 hispi cabbage, thinly sliced",hispi cabbage,1,,thinly sliced,
200g/7oz clarified butter,clarified butter,200 7,g oz,,/
1 tsp finely chopped fresh chives,fresh chives,1,tsp,finely chopped,
"175g/6oz smoked salmon, roughly chopped",smoked salmon,175 6,g oz,roughly chopped,/
4 quail,quail,4,,,
"250g/9oz floury potatoes, such as maris piper, desirée or king edward, cut into large chunks",floury potatoes,250 9,g oz,cut into large chunks,"such as maris piper, desirée or king edward /"
