input,name,quantity,unit,size,preparation,comment,purpose
"2 tbsp caraway seeds, crushed",,,,,,,
"1 garlic clove, peeled and finely chopped",,,,,,,
1 tbsp ketjap manis,,,,,,,
2 tsp white wine,,,,,,,
"675g/1½lb strong white flour, plus extra for flouring",,,,,,,
"1 courgette, roughly chopped",,,,,,,
1 tbsp minced garlic,,,,,,,
"85g/3oz clarified butter, melted",,,,,,,
"50g/1¾oz carrot, finely sliced into sticks",,,,,,,
"a little olive oil, to taste",,,,,,,
"3 tbsp gherkins, drained and chopped",,,,,,,
4 thick slices white bread,,,,,,,
"1 free-range egg, beaten with 2 tbsp cold water, plus 1 free-range egg, beaten, to glaze",,,,,,,
"1 red pepper, seeded and diced",,,,,,,
½tsp sweet paprika powder,,,,,,,
4 tbsp roughly chopped dill,,,,,,,
"16 medium-sized scallops, shelled, coral removed and cleaned",,,,,,,
100g/3½oz Anya potatoes,,,,,,,
½ tsp Chinese five spice powder,,,,,,,
"225/8oz pig’s liver, rinsed and patted dry with kitchen paper",,,,,,,
"3 floury potatoes, such as Maris Piper or King Edward, peeled and cut into thin chips",,,,,,,
"4 thin strips of sweet potato, deep-fried",,,,,,,
"200g/7oz cleaned squid tubes or cuttle fish, scored",,,,,,,
"50g/1¾oz marzipan, chopped into small pieces",,,,,,,
4 fresh kaffir lime leaves,,,,,,,
small handful of parsley,,,,,,,
"1 cauliflower, cut into florets",,,,,,,
"200g/7oz fresh mozzarella, chopped",,,,,,,
"50g/1¾oz trompette de la mort mushrooms, or other wild mushrooms, cleaned and finely chopped",,,,,,,
"500g/1lb 2oz line-caught sea bass fillets, scales and gills removed",,,,,,,
"2-3 tbsp anchovy essence (or several finely chopped anchovies), or to taste",,,,,,,
1 tsp ajwain (carom) seeds,,,,,,,
"100g/3½oz Lancashire cheese, grated",,,,,,,
a few drops of truffle oil,,,,,,,
"100g/3½oz chicken livers, seasoned",,,,,,,
1 tbsp fresh chervil leaves,,,,,,,
150g/5½oz cherry tomatoes,,,,,,,
1x20cm/8in tart ring,,,,,,,
"500g/1lb2oz pack of short dried pasta, such as farfalle, penne or fusilli",,,,,,,
60g/2¼oz sorrel,,,,,,,
"1 large brown river trout, gutted, cleaned and scaled",,,,,,,
30g/1¼oz icing sugar,,,,,,,
300ml/10fl oz clear apple juice,,,,,,,
450g/1lb egg noodles,,,,,,,
"6 tomatoes, diced",,,,,,,
200g/7¼oz feta cheese,,,,,,,
100g/3½fl oz pudding rice (or Spanish paella rice),,,,,,,
"½ cinnamon stick, broken",,,,,,,
1 tsp green peppercorns,,,,,,,
a few thyme sprigs,,,,,,,
2 tbsp amaretto liqueur,,,,,,,
"40 large Bramley apples, peeled, cored and sliced",,,,,,,
40ml/1½fl oz quince liquor,,,,,,,
"75g/2¾oz plain flour, sifted with ½ tsp baking powder",,,,,,,
100ml/3½fl oz anise-flavoured liqueur,,,,,,,
4 x 200g/7oz pork chops,,,,,,,
175g/6oz prunes,,,,,,,
24 langoustines,,,,,,,
"150g/5½oz butternut squash, peeled and roughly chopped",,,,,,,
garlic bread,,,,,,,
750g/1lb 10oz tofu,,,,,,,
45g/2¾oz self-raising flour,,,,,,,
"6 lemon balm leaves, torn (optional)",,,,,,,
1 tbsp finely shredded basil leaf,,,,,,,
1 tsp peeled and grated root ginger,,,,,,,
150ml/5fl oz buttermilk,,,,,,,
"1 ciabatta loaf, thickly sliced, to serve",,,,,,,
2 x 2.5cm/1in pieces cinnamon (or casia bark),,,,,,,
"1 head pak choi, shredded",,,,,,,
"Parmesan, to serve",,,,,,,
"cream, custard, or brandy butter, to serve",,,,,,,
"½ pear, peeled, core removed, and chopped",,,,,,,
"160ml/5½fl oz milk, at room temperature",,,,,,,
"½ green chilli, finely chopped",,,,,,,
250g/9oz streaky bacon,,,,,,,
"3 guajillo chilles, cleaned",,,,,,,
"vegetable oil (or vegetable oil mixed with beef dripping), for deep-frying",,,,,,,
"1 x 400ml/14fl oz can reduced-fat coconut milk, contents stirred",,,,,,,
"chilled crème fraîche, to serve (optional)",,,,,,,
"50g/2oz smoked salmon slices, finely chopped",,,,,,,
½ tin cherry tomatoes,,,,,,,
"100g/4oz mature cheddar, grated",,,,,,,
1 packet strawberry jelly,,,,,,,
"4 large potatoes, pre-cooked al dente, skin on",,,,,,,
"4 x 200g/7oz sirloin steaks, flattened slightly using a meat hammer or rolling pin",,,,,,,
"3 garlic cloves, crushed with a teaspoon of salt",,,,,,,
40ml/1¾fl oz extra virgin olive oil,,,,,,,
"50/2oz Parma ham, very finely chopped",,,,,,,
1 tbsp almond butter,,,,,,,
"4 pork sausages, skins removed, or 200g minced pork belly",,,,,,,
"900g/2lb potatoes, peeled and cut into chunks",,,,,,,
"chicken stock, to cover",,,,,,,
"1 lemon sole fillet, skin removed, cut in half lengthways",,,,,,,
"1 small Cos lettuce, cut into pieces",,,,,,,
100g/3½oz green beans,,,,,,,
small piece of rind from a ham (optional),,,,,,,
60g/2¼oz breadcrumbs,,,,,,,
75g/2½oz cold unsalted butter,,,,,,,
400ml/14fl oz buttermilk,,,,,,,
"boiling water, to cover",,,,,,,
"100g/3½oz fresh squid, sliced",,,,,,,
"Handful fresh parsley, chopped",,,,,,,
"2 small green bird's-eye chillies, seeds removed and finely chopped",,,,,,,
150ml/5fl oz lukewarm water,,,,,,,
¼ tsp cumin seed,,,,,,,
1 tsp chopped jalapeño peppers (optional),,,,,,,
greens,,,,,,,
"flavourless oil, such as groundnut oil",,,,,,,
"900g/2lb 4oz Brussels sprouts, trimmed and loose leaves removed",,,,,,,
"25g/1oz fresh tarragon, half left as sprigs, half finely chopped",,,,,,,
"6 small Conference pears, halved and cored",,,,,,,
¼ tsp wasabi,,,,,,,
"125g/4½oz monkfish tail, de-boned, trimmed and chopped into bite-sized pieces",,,,,,,
"icing sugar, to decorate",,,,,,,
"2 tbsp fresh ginger, grated",,,,,,,
4 tbsp brandy or dark rum,,,,,,,
"12 baby new potatoes, cooked",,,,,,,
2 tbsp finely chopped fresh rosemary,,,,,,,
"4 sage leaves, cut into strips",,,,,,,
"1 small red chilli, finely chopped",,,,,,,
100g/3½oz strong white flour,,,,,,,
"225g/8oz sausages, preferably venison",,,,,,,
100g/3½oz parmesan cheese (optional),,,,,,,
"500g/1lb 2oz ripe tomatoes (preferably heirloom, in variety of colours, shapes and sizes), washed and sliced, reserving the seeds and juice",,,,,,,
"1 onion, finely diced",,,,,,,
"10g/¼oz shallots, roughly chopped",,,,,,,
1 tbsp Sichuan peppercorns,,,,,,,
2 tbsp light brown muscovado sugar,,,,,,,
"2 celery stalks, cut into 5cm/2in pieces",,,,,,,
"200g/7oz fresh broad beans, double podded if not young (600–700g/1lb 5oz–1lb 9oz weight in pods)",,,,,,,
300ml/10½fl oz sunflower oil,,,,,,,
2 tbsp orange marmalade,,,,,,,
"1 whole garlic, sliced in half",,,,,,,
100g/3½oz sugar snap peas,,,,,,,
"2 beef cheeks, trimmed and cut into 4 equal-sized pieces",,,,,,,
"6 nectarines, cut in half and stone removed",,,,,,,
1 tsp Calvados,,,,,,,
1½ tsp of caster sugar,,,,,,,
"100g/3½oz broad beans, podded",,,,,,,
icing sugar for dusting,,,,,,,
"1 x 340g/12oz tin corned beef, chopped into cubes",,,,,,,
"1-2 lemons, juice only",,,,,,,
"250g/9oz raw beetroot, peeled and diced",,,,,,,
50ml/2fl oz light tahini,,,,,,,
"325g/11½oz smoked salmon, sliced",,,,,,,
"2 sprigs fresh mint, to garnish",,,,,,,
"½ shallot, diced",,,,,,,
"extra olive oil and cornflour, to finish",,,,,,,
2 slices toast,,,,,,,
"200g/7oz caster sugar, plus extra, for sprinkling",,,,,,,
250g/9oz icing sugar,,,,,,,
600g/1lb 5oz blackberries,,,,,,,
"½ sweet potato, peeled, chopped",,,,,,,
"3 heads Baby Gem lettuce, trimmed and cut in half",,,,,,,
750ml/1½ pint chicken stock,,,,,,,
120g/8 tbsp freshly roughly chopped coriander,,,,,,,
"25g/1oz roasted garlic cloves, skins removed (see tip)",,,,,,,
7 tbsp extra virgin olive oil,,,,,,,
"2 garlic cloves, finely chopped, plus an extra clove for the toast",,,,,,,
100g/3½oz whipping cream,,,,,,,
"45g/3 tbsp fresh chives, chopped",,,,,,,
"1 red or yellow pepper, seeds removed, cut lengthways into 5mm/¼in-thick strips",,,,,,,
"1 hispi or pointed cabbage, shredded",,,,,,,
"20g/¾oz celery, roughly chopped",,,,,,,
"1 large whole sea bass (approximately 2kg/4lb 8oz), de-scaled, gutted, rinsed inside and out under cold water",,,,,,,
4 frozen sliced bananas,,,,,,,
"400g/14oz potatoes, peeled and cubed",,,,,,,
500g/1lb 2oz plum tomatoes,,,,,,,
"2 lemons, juice only",,,,,,,
"1 small thumb-sized piece fresh root ginger, peeled and roughly chopped",,,,,,,
½ tbsp caraway seeds,,,,,,,
"40g/1½oz plain flour, plus three tablespoons for dredging",,,,,,,
"handful mixed fresh herbs (rosemary, thyme, parsley)",,,,,,,
"1 large pickled gherkin, chopped",,,,,,,
1 small cucumber,,,,,,,
"3 tiger prawns, peeled, cooked and chopped",,,,,,,
"floury potatoes, such as Cara or King Edward, cut fairly small - roughly egg size",,,,,,,
150ml/5½fl oz full-fat milk,,,,,,,
"200g/7oz caster sugar, plus more to taste",,,,,,,
300g/10½oz baby spinach leaves,,,,,,,
50g/2oz oscietra caviar (or any caviar to garnish),,,,,,,
"140g/5oz brie, sliced",,,,,,,
"5 amaretti biscuits, crushed",,,,,,,
"12-15 large ripe plums, stones removed, chopped",,,,,,,
¼ tsp white peppercorns,,,,,,,
1 tbsp persillade (equal quantities of finely chopped garlic and parsley),,,,,,,
2 tbsp roughly chopped fresh parsley,,,,,,,
"vanilla sugar, for dusting",,,,,,,
75g/2½oz cornflour,,,,,,,
1 beef stock cube,,,,,,,
100g/3½oz cooked peas,,,,,,,
"10 sage leaves, chopped",,,,,,,
"20g/¾oz fresh mint leaves, washed",,,,,,,
"100g/3½oz fresh peas, pods removed",,,,,,,
"150g/5½oz butter, chopped",,,,,,,
300g/10½oz gingernut biscuits,,,,,,,
375g/13oz ready rolled puff pastry,,,,,,,
125g/4½oz suet,,,,,,,
"10g/½oz ginger, peeled, roughly chopped",,,,,,,
"110g/4oz walnuts out of their shells, toasted",,,,,,,
2 tbsp chopped fresh parsley or thyme (depending on preference),,,,,,,
200g/7oz clams,,,,,,,
"500g/1lb 2oz apples, peeled and chopped",,,,,,,
6 thick beef fillet steaks with a good marbling of fat,,,,,,,
bunch of flatleaf parsley,,,,,,,
1 small bulb garlic,,,,,,,
"400g/14oz ripe strawberries, hulled",,,,,,,
"340g/12oz roast beef or roast lamb, cooked and boneless",,,,,,,
1 tbsp kosher salt or sea salt,,,,,,,
"1 parsnip (about 125g/4½oz pre-peeled weight), peeled and grated",,,,,,,
500ml/18floz double cream,,,,,,,
"150g/5½oz sole fillet, halved lengthways",,,,,,,
200ml/7fl oz fish stock or water,,,,,,,
"300g/11oz ready-cooked beetroot, chopped",,,,,,,
"125g/4½oz soft butter, plus extra to grease",,,,,,,
"4 sticks celery, cut into 3cm/1¼in lengths",,,,,,,
"ready-made vanilla ice cream, to serve",,,,,,,
1 x 80g/2¾oz can tuna (in spring water),,,,,,,
"2 stalks of lemon grass, finely chopped",,,,,,,
500g/1lb lamb mince,,,,,,,
1 small bunch fresh rosemary,,,,,,,
400g/14oz frozen chips,,,,,,,
4 slices white crusty bread,,,,,,,
"black olives, sliced, to serve",,,,,,,
"15g/½oz fresh chives, chopped",,,,,,,
2 tbsp chopped flatfleaf parsley,,,,,,,
"450g/1lb canned butter beans, drained, rinsed",,,,,,,
"1 egg, lightly beaten",,,,,,,
1-2 tbsp icing sugar,,,,,,,
50g/2oz chocolate broken into pieces,,,,,,,
220g/8oz strong flour,,,,,,,
40g/1½oz baby capers,,,,,,,
"1 x 400g/14oz can chickpeas, drained and rinsed",,,,,,,
"500ml/17fl oz bottle strong bottled beer, such as Black Sheep Brewery Riggwelter Strong Ale",,,,,,,
"5 tbsp dried porcini mushrooms, soaked in water until soft, drained and water reserved",,,,,,,
1 tsp glycerine,,,,,,,
"ham, chorizo, cheese, mushrooms,",,,,,,,
"6 juniper berries, ground to a powder",,,,,,,
20 spears English asparagus,,,,,,,
160g/5½oz caster sugar,,,,,,,
12 halved cherry tomatoes,,,,,,,
2tsp fresh thyme leaves,,,,,,,
120g/4¼oz popcorn kernels,,,,,,,
"125ml/4fl oz double cream, softly whipped",,,,,,,
150g/5½ oz fresh spinach leaves,,,,,,,
"2 chickens, jointed into pieces",,,,,,,
"1.25kg/2½lb potatoes, peeled and cut into even-sized pieces",,,,,,,
3 tbsp light muscovado sugar,,,,,,,
"3 large beetroots, cooked, peeled and roughly chopped",,,,,,,
"5g fresh sage, leaves picked and chopped",,,,,,,
"1 shallot, thinly sliced",,,,,,,
275g/9¾oz butter,,,,,,,
"English mustard, to taste",,,,,,,
255g/9oz lexia raisins,,,,,,,
2 tbsp tarragon leaves,,,,,,,
70g/2½oz sultanas,,,,,,,
"1 bulb garlic, roasted",,,,,,,
50ml/2fl oz warm water,,,,,,,
"3 large tomatoes, roughly chopped",,,,,,,
"500g/1lb 2oz mixed wild mushrooms (such as chanterelles, girolles, ceps, and morels), cleaned",,,,,,,
potatoes,,,,,,,
pouring cream,,,,,,,
"2 flat field mushrooms, stalks removed",,,,,,,
"3 free-range eggs, lightly beaten",,,,,,,
25g/1oz unbleached all purpose flour,,,,,,,
50ml/2fl oz water,,,,,,,
150g/5½oz unrefined sugar,,,,,,,
1.5kg/3lb 5oz mussels,,,,,,,
50g/1½oz caster sugar,,,,,,,
roast potatoes,,,,,,,
800ml/1⅓ pint chicken stock,,,,,,,
"60ml/2½fl oz vegetable oil, plus extra for greasing",,,,,,,
3–4 sprigs of fresh thyme,,,,,,,
"250ml/9fl oz double cream, whipped to soft peaks",,,,,,,
"16 asparagus spears, woody ends trimmed",,,,,,,
"75-100g/2½-3½oz slightly stale white bread, crusts removed, bread cut into 1cm cubes",,,,,,,
110g/4oz duck fat,,,,,,,
"2 loins of lamb, boned, weighing 600g/1lb 4oz in total",,,,,,,
"½ mango, peeled and halved",,,,,,,
"5 large free-range eggs, lightly beaten",,,,,,,
"1 sprig fresh oregano, leaves only, finely chopped",,,,,,,
1 punnet fresh micro coriander cress,,,,,,,
"oil, for frying",,,,,,,
55g/2oz dolcelatte,,,,,,,
"150g/5½oz stale sourdough bread, roughly chopped",,,,,,,
2-3 beef fillets (depending on size),,,,,,,
¼ tsp freshly grated nutmeg,,,,,,,
¼ tsp hot chilli powder,,,,,,,
1 tbsp chopped herbs of your choice,,,,,,,
handful mixed savoury herbs,,,,,,,
"3 carrots, cut into ribbons using a potato peeler",,,,,,,
40g/1½oz unsalted butter,,,,,,,
2½ tbsp tahini,,,,,,,
½ tbsp cocoa powder,,,,,,,
70g/2½oz finely sliced red onions,,,,,,,
"20g/¾oz parmesan, freshly grated",,,,,,,
"150g/5½oz lard, cut into cubes, plus extra for greasing",,,,,,,
"3 cardamoms, crushed with husk removed",,,,,,,
"6 medium potatoes, peeled and halved lengthways",,,,,,,
handful thyme,,,,,,,
30g/2oz icing sugar,,,,,,,
3 morels,,,,,,,
"3 raw king prawns, shells removed, heads left on",,,,,,,
290ml/½ pint double cream,,,,,,,
"65g/2¼oz cornflour, sifted",,,,,,,
1 tsp smoked paprika,,,,,,,
"150g/5oz chocolate digestive biscuits, roughly broken",,,,,,,
2 tbsp harissa paste,,,,,,,
"350ml/12fl oz cows', soya or rice milk (rice milk will be rather thinner and sweeter)",,,,,,,
"1 small head garlic, cloves separated, peeled, finely chopped",,,,,,,
"½ tsp coriander seeds, crushed",,,,,,,
125g/4½oz black treacle,,,,,,,
"450g/1lb mixed fruits (blueberries, raspberries, red currants) or bag of frozen fruits.",,,,,,,
55g/2oz desiccated coconut,,,,,,,
"4 x 150g/5½oz slices calves' livers, trimmed",,,,,,,
"1 cinnamon stick, crushed",,,,,,,
"4 brill fillets, skinned and fully trimmed",,,,,,,
1 handful rock salt,,,,,,,
"1 Savoy cabbage, leaves separated and centre stalks removed",,,,,,,
"1 bunch fresh coriander leaves, finely chopped",,,,,,,
"150g/5oz chestnut mushrooms, thinly sliced",,,,,,,
"2 slices of ciabatta/bread, toasted",,,,,,,
handful fresh dill,,,,,,,
"½ bunch fresh mint, leaves only, finely chopped (to give about 2 tbsp)",,,,,,,
"150g/5oz duck (or chicken) livers, trimmed",,,,,,,
½ tsp thyme,,,,,,,
generous splash double cream,,,,,,,
50g/1¾oz mangetout,,,,,,,
325ml/11fl oz vegetable oil,,,,,,,
"2 sirloin or tail end fillet steaks, 150-200g/5½-7oz each",,,,,,,
2 tbsp dry white wine,,,,,,,
¼ tsp crushed red chilli,,,,,,,
7 free-range eggs,,,,,,,
"110g/4oz roasted peppers, from a jar, thinly sliced (optional)",,,,,,,
"smoked paprika, to dust",,,,,,,
"30g/1oz galangal, peeled and roughly chopped",,,,,,,
¼ tsp cloves,,,,,,,
255g/9oz baking margarine,,,,,,,
"200g/7oz rice, cooked",,,,,,,
225g/8oz self-raising flour,,,,,,,
"small bunch sage, finely chopped",,,,,,,
"100g/3½oz grouse livers and hearts, cleaned",,,,,,,
"25g/1oz shallots, sliced",,,,,,,
"200g/7oz Gruyère cheese, grated",,,,,,,
300ml/10½fl oz red wine,,,,,,,
handful walnuts,,,,,,,
"8 Romaine lettuce leaves, or similar crisp lettuce leaves, roughly chopped",,,,,,,
350g/12oz glacé cherries or more dried fruit,,,,,,,
"½ orange, cut into wedges",,,,,,,
"5 sun-dried tomatoes, chopped",,,,,,,
2 tbsp rock salt flakes,,,,,,,
"3 garlic cloves, peeled, left whole",,,,,,,
blue food colouring,,,,,,,
20g/¾oz pickled ginger,,,,,,,
"basil, to garnish",,,,,,,
½ tsp oregano,,,,,,,
55g/2oz cannellini beans,,,,,,,
"2 large smoked haddock fillets, skinned and boned",,,,,,,
75g/2¾oz fresh breadcrumbs,,,,,,,
"50g/2oz butter, unsalted",,,,,,,
"½ bunch spring onions, thinly sliced",,,,,,,
"2 tbsp chopped fresh coriander leaves, plus extra for garnish",,,,,,,
"3 quinces, flesh cut into chunks, cores discarded",,,,,,,
2 tbsp chopped fresh parsley (optional),,,,,,,
"75g/2½oz smoked sausage (such as kobanos), sliced",,,,,,,
7 tbsp white wine vinegar,,,,,,,
30g/1oz fresh thyme,,,,,,,
"small piece ginger, finely chopped",,,,,,,
"4cm/1½in piece fresh root ginger, peeled, finely chopped or grated",,,,,,,
½ tsp rose extract,,,,,,,
85g/3oz fennel,,,,,,,
"2kg/4lb 4oz potatoes, peeled, cut into large pieces",,,,,,,
"800g/1lb 12oz beef braising steak, cut into 2.5cm/1in pieces",,,,,,,
250g tub créme fraîche,,,,,,,
splash calvados,,,,,,,
1 tsp saffron strands (optional),,,,,,,
60g/2oz madras curry paste (from above),,,,,,,
"½ iceberg lettuce, shredded",,,,,,,
"6 scallops, cleaned, removed from their shell and coral removed",,,,,,,
"5 dates, chopped",,,,,,,
200g/7oz mascarpone cheese,,,,,,,
"6 scallops, cleaned",,,,,,,
"1 chicken breast, cut into three pieces",,,,,,,
"600g/1lb 5oz parsnips, cut into 2cm/1in pieces",,,,,,,
150g/5½oz self raising flour,,,,,,,
1½ tbsp harissa paste (preferably rose),,,,,,,
"¼-½ habanero chilli, to taste",,,,,,,
"2 celery sticks, trimmed, stringy parts peeled away, sliced",,,,,,,
175ml/6floz double cream,,,,,,,
"4 x 175g/6oz hake steaks, bone left in",,,,,,,
250g/1lb 2oz icing sugar,,,,,,,
"2 large potatoes, baked",,,,,,,
"boiled long-grain rice, to serve",,,,,,,
"small bunch chives, chopped",,,,,,,
"4 small oatcakes, broken into crumbs with a rolling pin",,,,,,,
3 white grapefruit,,,,,,,
5 tbsp tomato ketchup,,,,,,,
"100g/3½oz roasted artichokes (from a jar), drained and chopped",,,,,,,
1 x 825g/1lb 13oz turkey drumstick,,,,,,,
8 tbsp freshly grated parmesan,,,,,,,
2 tbsp lemon vinaigrette,,,,,,,
"150g/5½oz plain chocolate, melted",,,,,,,
1.5kg/3lb 5oz duck fat,,,,,,,
"2 kiwi fruit, peeled, sliced",,,,,,,
4 x 150g/5½oz brill fillets,,,,,,,
"115g/4oz leek, chopped",,,,,,,
"1 tbsp capers, drained and chopped",,,,,,,
1 tsp ground green cardamom seeds,,,,,,,
50ml/1¾fl oz brandy,,,,,,,
"150ml/5½fl oz double cream, softly whipped",,,,,,,
1 tbsp chopped walnuts,,,,,,,
"4cm/1½in fresh root ginger, peeled and finely chopped",,,,,,,
900g/2lb cold unsalted butter,,,,,,,
1 large free-range egg (preferably organic),,,,,,,
"40g/1½oz plain flour, plus extra for ramekins",,,,,,,
10-12 small white and pink roses,,,,,,,
"1 savoy cabbage, core removed, finely sliced",,,,,,,
"1 tbsp salted capers, rinsed",,,,,,,
"30 raw clams, preferably palourdes (vongole), scrubbed",,,,,,,
4 tbsp sieved roasted tomatoes (or 1 tbsp concentrated tomato purée),,,,,,,
150ml/5fl oz reduced beef stock.,,,,,,,
675g/1lb 8oz marzipan,,,,,,,
"100g/3½oz ginger, peeled",,,,,,,
"100g/3½oz walnuts, crushed into fine pieces",,,,,,,
1 pack shop-bought gnocchi,,,,,,,
"1 firm unripe mango, peeled, stone removed, cut into thin wedges",,,,,,,
"400g/14oz wild mushrooms, cleaned",,,,,,,
1½ tsp ground sea salt,,,,,,,
"1kg/2lb 3¼oz pork belly, rind removed, cut into 4 equal pieces",,,,,,,
½ tsp vinegar,,,,,,,
"50g/2oz Stilton, crumbled",,,,,,,
250g/10½oz ready-made mayonnaise,,,,,,,
"300ml/10fl oz double cream, well chilled",,,,,,,
60ml/2¼fl oz light soy sauce,,,,,,,
60ml/2fl oz pink vermouth,,,,,,,
100g/3½oz broad beans (shelled weight),,,,,,,
"2 fennel bulbs, thinly sliced",,,,,,,
"large handful parsley, finely chopped",,,,,,,
50g/1¾oz cream cheese,,,,,,,
green food colouring,,,,,,,
"1 green chilli, deseeded, sliced",,,,,,,
4 large free-range eggs (optional),,,,,,,
"5 tbsp raspberry jam, warmed",,,,,,,
"4 x 140g/5oz pollock fillets, bones removed",,,,,,,
2 large handfuls spinach,,,,,,,
"2 bananas, in their skin",,,,,,,
"2 Jerusalem artichokes, cut into 1cm/½in cubes",,,,,,,
handful rose leaves,,,,,,,
"1kg/2lb 4oz potatoes, peeled",,,,,,,
340g/11¾oz sausagemeat with black pepper and nutmeg,,,,,,,
"½ tsp cardamom pods, seeds only",,,,,,,
"3 spring onions, roughly chopped",,,,,,,
"30g/1oz white bread, cut into 1cm/½in cubes and toasted",,,,,,,
"1 small fennel, diced",,,,,,,
200ml/7fl oz whipping or double cream,,,,,,,
2 fillets Dover sole,,,,,,,
"100g/3½oz dark chocolate drops, melted",,,,,,,
1½ tsp sunflower or groundnut oil,,,,,,,
"50g/1¾oz Stilton with apricots, crumbled",,,,,,,
100g/3½oz coarse rock salt,,,,,,,
"rice, cooked",,,,,,,
1 large orange,,,,,,,
"100g/3½oz smoked streaky bacon, cut into lardons",,,,,,,
"2 basil leaves, torn",,,,,,,
"4 large potatoes, made into spaghetti using a spiralizer",,,,,,,
"40g/1½oz fresh root ginger, peeled, finely grated",,,,,,,
175g/6oz mayonnaise,,,,,,,
"2 handfuls spinach leaves, torn",,,,,,,
300ml chicken or vegetable stock,,,,,,,
25g/1oz dark chocolate covered coffee beans,,,,,,,
"20 raw tiger prawns, de-shelled, heads and black vein removed",,,,,,,
"250g/8¾oz cheddar, grated, plus extra for topping",,,,,,,
"6 oyster mushrooms, lightly pulled apart into pieces",,,,,,,
"2 tbsp chopped flatleaf parsley, to serve",,,,,,,
25g/1oz mixed seeds,,,,,,,
"150g/5½oz Parmesan cheese, grated, plus extra to finish",,,,,,,
"1 slice white country bread, crusts removed and broken into large crumbs",,,,,,,
1 jar (340g/12oz) lemon curd,,,,,,,
50g/2oz salted butter,,,,,,,
1-2 tbsp melted butter,,,,,,,
"100g/3½oz natural yoghurt or soured cream, to serve",,,,,,,
"8 medium gherkins, quartered",,,,,,,
1 small bunch of tarragon,,,,,,,
170ml/5¾fl oz liquid glucose,,,,,,,
"1 fresh lasagne sheet, cut in half",,,,,,,
"110g/4oz cooking chorizo, cut into 0.5cm/¼ cubes",,,,,,,
½ vanilla pod,,,,,,,
150-200ml/5-7fl oz beer or lager,,,,,,,
"100g/3½oz shelled hazelnuts, toasted and lightly crushed or broken up",,,,,,,
"1 courgette, trimmed, chopped into medium-sized pieces",,,,,,,
"250g/9oz paneer (from above), cut into 2.5cm/1in cubes",,,,,,,
1 thick slice mozzarella cheese,,,,,,,
"½ small avocado (about 45g/ /1½oz), sliced",,,,,,,
"1 bunch fresh thyme, leaves only",,,,,,,
"150g/5oz butter, cut into small pieces",,,,,,,
"3 slices stale good quality white bread, torn into pieces",,,,,,,
1 tbsp blueberry liqueur,,,,,,,
1 tbsp sultanas,,,,,,,
"caster sugar, for sprinkling",,,,,,,
"2 spring onions, halved through the middle and finely shredded",,,,,,,
"2 large red chillies, sliced into rings",,,,,,,
brioche rolls,,,,,,,
75g/2½oz cream cheese,,,,,,,
1 fresh bouquet garni,,,,,,,
300-400g/10½-14oz fresh pasta dough,,,,,,,
1 tbsp juniper berries,,,,,,,
"1 sole fillet, skinned",,,,,,,
"250g/9oz dark chocolate, finely chopped or grated",,,,,,,
"green beans, cooked",,,,,,,
dash olive oil,,,,,,,
lemon wedges to garnish,,,,,,,
"2 ripe plum tomatoes, sliced crosswise",,,,,,,
40g/1½oz plain flour (those with a wheat intolerance can substitute wheat-free flour),,,,,,,
75g/2½oz very fine white breadcrumbs or polenta,,,,,,,
"200ml/7fl oz double cream, whipped to soft peaks",,,,,,,
1 small cinnamon stick,,,,,,,
"125g/4½oz clams, rinsed in clean cold water",,,,,,,
25g/1oz fresh grated horseradish,,,,,,,
"600ml/21fl oz vegetable stock, warm",,,,,,,
125ml/4fl oz iced water,,,,,,,
4 tbsp sunflower oil or melted goose fat,,,,,,,
"1 tbsp olive oil, for griddling",,,,,,,
450ml double cream,,,,,,,
gel food colouring in dark brown,,,,,,,
200g/7oz tagliatelle,,,,,,,
"¼ orange pepper, finely chopped",,,,,,,
"115g/4oz caster sugar, plus 4 tbsp for dredging",,,,,,,
"1 x 100g/3½oz cod fillet, skin removed, chopped",,,,,,,
100g/3½oz ghee or clarified butter,,,,,,,
"40g/1½oz softened butter, plus extra for buttering",,,,,,,
1 tsp (5g) English mustard,,,,,,,
4 tbsp double cream,,,,,,,
"1 small preserved lemon, pulp and pips removed, chopped",,,,,,,
"250g/9oz waxy potatoes, peeled and cut into 5mm/¼in cubes",,,,,,,
250g/9oz cooked mashed potato,,,,,,,
"85g/3oz broccoli, chopped",,,,,,,
"2 large red onions (or 3 small), thinly sliced",,,,,,,
"½ onion, roughly chopped",,,,,,,
"2 eating apples, cored and roughly chopped",,,,,,,
"2 passion fruits, halved and pulp scooped out",,,,,,,
"small bunch fresh flatleaf parsley, leaves only",,,,,,,
"1kg/2lb 4oz parsnips, cut into small cubes",,,,,,,
"4 x 150g-200g/5½-7oz turbot fillets, skin on, pin-boned",,,,,,,
"2 extra-large scallops, shells reserved, washed well",,,,,,,
"100g/3½oz mangetout, chopped in half lengthways",,,,,,,
"2 medium potatoes, thinly sliced on mandoline",,,,,,,
"6-8 kaffir lime leaves, torn into pieces (if unavailable, use the grated zest of 1 lime)",,,,,,,
"2-3 fat garlic cloves, thinly sliced",,,,,,,
1 tsp ground cumin seeds,,,,,,,
"400g/14oz blackberries, 100g/3½ reserved for garnish",,,,,,,
75g/2½oz raisins,,,,,,,
"25g/1oz walnut pieces, finely chopped",,,,,,,
250ml/8¾fl oz hot water,,,,,,,
