Input,quantity,unit,item,comment
2 tbsp thyme leaves,2,tbsp,thyme leaves,
"1 clove garlic, chopped",1,clove,garlic,chopped
150 g chestnut baby button mushrooms,150,g,chestnut baby button mushrooms,
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
1 tbsp cold water,1,tbsp,cold water,
"2 clove garlic, finely chopped",2,clove,garlic,finely chopped
"4 medium eggs, at room temperature",4,medium,eggs,at room temperature
"1 fat red chilli, deseeded and finely chopped",1,,fat red chilli,deseeded and finely chopped
"2 tsp ras el hanout, or a mix of ground cinnamon and cumin",2,tsp,ras el hanout,or a mix of ground cinnamon and cumin
"cooked rice or noodles, to serve",,,cooked rice or noodles,to serve
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
2 tbsp olive oil,2,tbsp,olive oil,
250 g basmati rice,250,g,basmati rice,
2 cloves garlic,2,cloves,garlic,
1 beaten egg,1,,beaten egg,
"0.5 medium leek, finely chopped",0.5,medium,leek,finely chopped
"small bunch coriander, leaves and stalks separated",,small bunch,coriander,leaves and stalks separated
"1 large yellow onion, diced into &frac12;-inch pieces",1,large,yellow onion,diced into &frac12;-inch pieces
"1 large onion, finely chopped",1,large,onion,finely chopped
"1 large carrot, finely chopped",1,large,carrot,finely chopped
"1 ball fresh mozzarella, torn into bite-sized chunks",1,ball,fresh mozzarella,torn into bite-sized chunks
"2 cloves garlic, grated to a purée",2,cloves,garlic,grated to a purée
1 tbsp vegetable oil,1,tbsp,vegetable oil,
4 tsp curry powder,4,tsp,curry powder,
"2 skinless salmon fillets, cut into chunks",2,,skinless salmon fillets,cut into chunks
1 tsp soft brown sugar,1,tsp,soft brown sugar,
1 tbsp ground coriander,1,tbsp,ground coriander,
2 tbsp olive oil,2,tbsp,olive oil,
0.5 tsp ground coriander,0.5,tsp,ground coriander,
8 tbsp passata,8,tbsp,passata,
"1 jalapeno pepper, cored, deveined and finely chopped",1,,jalapeno pepper,"cored, deveined and finely chopped"
4 eggs,4,,eggs,
"4 large tomatoes, chopped",4,large,tomatoes,chopped
300 g cooked prawns,300,g,cooked prawns,
"2x 6 oz cans chunked light tuna in water, drained",2x,6 oz cans,chunked light tuna in water,drained
"freshly grated Parmesan cheese, to serve",,,freshly grated Parmesan cheese,to serve
1 tsp cumin seeds,1,tsp,cumin seeds,
"4 lemons, juice and zest",4,,lemons,juice and zest
0.25 cup chopped fresh dill,0.25,cup,chopped fresh dill,
zest and juice of &frac12; lemon,,,zest and juice of &frac12; lemon,
"1 tsp fresh rosemary, chopped",1,tsp,fresh rosemary,chopped
5 tbsp vegetable stock,5,tbsp,vegetable stock,
2 tsp vegetable oil,2,tsp,vegetable oil,
"pumpkin seeds, toasted",,,pumpkin seeds,toasted
2 shallot,2,,shallot,
300 g lamb mince,300,g,lamb mince,
"3 sprigs rosemary, 1 finely chopped, the other 2 cut in half",3,sprigs,rosemary,"1 finely chopped, the other 2 cut in half"
"50 g smoked pancetta, diced",50,g,smoked pancetta,diced
juice of 1 lime,,,juice of 1 lime,
"1 lemon, zest and juice",1,,lemon,zest and juice
"2 red peppers, deseeded and cut into chunky stips",2,,red peppers,deseeded and cut into chunky stips
"0.5 red pepper, cut into fine dice",0.5,,red pepper,cut into fine dice
750 ml vegetable stock,750,ml,vegetable stock,
1 tbsp olive oil,1,tbsp,olive oil,
2 tsp salt,2,tsp,salt,
"2 cloves garlic, minced",2,cloves,garlic,minced
"4 cloves garlic, minced",4,cloves,garlic,minced
400 ml coconut milk,400,ml,coconut milk,
"4 skinless salmon fillets, chopped into small chunks",4,,skinless salmon fillets,chopped into small chunks
4 boneless chicken breasts,4,,boneless chicken breasts,
"resh flat leaf parsley, fto garnish",,,resh flat leaf parsley,fto garnish
"0.5 tsp salt,",0.5,tsp,salt, 
"0.5 cup green onions, sliced",0.5,cup,green onions,sliced
600 ml milk,600,ml,milk,
"50 g cashews, toasted and roughly chopped",50,g,cashews,toasted and roughly chopped
1 tbsp sunflower oil,1,tbsp,sunflower oil,
0.5 chicken stock cube,0.5,,chicken stock cube,
0.5 tsp crushed chillies,0.5,tsp,crushed chillies,
fresh coriander,,,fresh coriander,
4 cloves garlic,4,cloves,garlic,
"2x 185 g cans tuna in water, drained well",2x,185 g cans,tuna in water,drained well
500 g fusilli,500,g,fusilli,
"1.8 kg (trimmed weight) beef braising steak, chopped into 3-4cm chunks, or 4x 450g packs diced beef",1.8,kg,(trimmed weight) beef braising steak,"chopped into 3-4cm chunks, or 4x 450g packs diced beef"
1 tbsp Diamond Crystal or 1¾ tsp. Morton kosher salt,1,tbsp,Diamond Crystal or 1¾ tsp. Morton kosher salt,
2 tsp paprika,2,tsp,paprika,
0.25 cup chopped fresh parsley,0.25,cup,chopped fresh parsley,
"70 g filo pastry, 3 sheets cut into 4 pieces",70,g,filo pastry,3 sheets cut into 4 pieces
2 skinless chicken breast fillets,2,,skinless chicken breast fillets,
"500 g fresh or frozen broad beans, thawed if frozen",500,g,fresh or frozen broad beans,thawed if frozen
1 tbsp pine nuts,1,tbsp,pine nuts,
2 tbsp tomato puree,2,tbsp,tomato puree,
0.25 tsp onion powder,0.25,tsp,onion powder,
salt and freshly ground black pepper,,,salt and freshly ground black pepper,
6 eggs,6,,eggs,
0.5 mug finely grated parmesan,0.5,mug,finely grated parmesan,
"1x 400 g can chickpeas, drained and rinsed",1x,400 g can,chickpeas,drained and rinsed
"50 g chorizo, peeled and thinly sliced",50,g,chorizo,peeled and thinly sliced
"1 brown onion, finely diced",1,,brown onion,finely diced
1 tbsp butter,1,tbsp,butter,
"0.5 lb fresh asparagus, medium thickness",0.5,lb,fresh asparagus,medium thickness
"150 g white chocolate, broken up into pieces",150,g,white chocolate,broken up into pieces
142 ml pot double cream,142,ml,pot double cream,
3 nests medium egg noodles,3,nests,medium egg noodles,
0.5 tsp gound cinnamon,0.5,tsp,gound cinnamon,
"Crushed red chili pepper flakes, optional",,,Crushed red chili pepper flakes,optional
1 tsp ras el hanout spices or harissa paste,1,tsp,ras el hanout spices or harissa paste,
0.5 tsp ground cumin,0.5,tsp,ground cumin,
150 ml double cream,150,ml,double cream,
0.5 cup breadcrumbs,0.5,cup,breadcrumbs,
150 ml white wine,150,ml,white wine,
0.5 tsp toasted sesame oil,0.5,tsp,toasted sesame oil,
"3 cloves garlic, finely chopped",3,cloves,garlic,finely chopped
100 ml robust red wine (such as Rioja or Merlot),100,ml,robust red wine (such as Rioja or Merlot),
"coriander leaves, to serve",,,coriander leaves,to serve
"0.5 tsp fresh ginger, minced",0.5,tsp,fresh ginger,minced
1 red chilli,1,,red chilli,
2 large wraps,2,large,wraps,
"2 carrots, cut into thin sticks",2,,carrots,cut into thin sticks
"1 clove garlic, finely chopped",1,clove,garlic,finely chopped
25 g butter,25,g,butter,
2 bay leaves,2,,bay leaves,
0.25 cup ranch dressing,0.25,cup,ranch dressing,
4 tbsp freshly grated Parmesan or shavings,4,tbsp,freshly grated Parmesan or shavings,
0.333 tsp chilli flakes,0.333,tsp,chilli flakes,
"180 ml vegan BBQ sauce, use 120 ml if you want the BBQ taste to be more mild",180,ml,vegan BBQ sauce,use 120 ml if you want the BBQ taste to be more mild
4 pizza bases,4,,pizza bases,
"2 medium sweet potatoes, peeled and cut into chunks",2,medium,sweet potatoes,peeled and cut into chunks
0.5 tsp ground cinnamon,0.5,tsp,ground cinnamon,
1 sprig basil,1,sprig,basil,
"1 egg, beaten",1,,egg,beaten
"1 tbsp olive oil, plus extra to serve",1,tbsp,olive oil,plus extra to serve
1 red bell pepper,1,,red bell pepper,
"250 g skinless boneless chicken thighs, trimmed of all fat and cut in half",250,g,skinless boneless chicken thighs,trimmed of all fat and cut in half
0.5 mug grated cheese for sprinkling over the top,0.5,mug,grated cheese for sprinkling over the top,
"250 g pack chestnut mushrooms, sliced",250,g,pack chestnut mushrooms,sliced
2 tsp chopped fresh thyme or 1 tsp dried,2,tsp,chopped fresh thyme or 1 tsp dried,
"1 onion, finely chopped",1,,onion,finely chopped
2 tbsp Thai red curry paste,2,tbsp,Thai red curry paste,
1x 125 g bag young spinach leaves,1x,125 g bag,young spinach leaves,
1 tbsp soy sauce,1,tbsp,soy sauce,
1 tbsp cranberry sauce (heaped tbsp. I prefer to use chunky cranberry sauce but smooth is fine if that's what you've got),1,tbsp,cranberry sauce (heaped tbsp. I prefer to use chunky cranberry sauce but smooth is fine if that's what you've got),
200 g dried brown lentils,200,g,dried brown lentils,
500 ml chicken stock,500,ml,chicken stock,
1 tbsp freshly grated ginger,1,tbsp,freshly grated ginger,
"2.5 cm piece fresh root ginger, peeled and finely chopped",2.5,cm piece,fresh root ginger,peeled and finely chopped
300 g wholewheat or other spaghetti,300,g,wholewheat or other spaghetti,
"1 large onion, finely chopped",1,large,onion,finely chopped
1 pinch salt and pepper,1,pinch,salt and pepper,
knob butter,,knob,butter,
"1 egg, beaten",1,,egg,beaten
2 tbsp oil,2,tbsp,oil,
"2 large sweet potatoes, peeled and cubed",2,large,sweet potatoes,peeled and cubed
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
4 carrots,4,,carrots,
1 tsp paprika,1,tsp,paprika,
150 ml white wine,150,ml,white wine,
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
"450 g salad or new potatoes, sliced",450,g,salad or new potatoes,sliced
70 g beansprouts,70,g,beansprouts,
15 g mint leaves,15,g,mint leaves,
"1 red onion, diced",1,,red onion,diced
"1 red onion, chopped",1,,red onion,chopped
100 g shelled pistachio nuts,100,g,shelled pistachio nuts,
2 cloves garlic,2,cloves,garlic,
"1 red pepper, chopped",1,,red pepper,chopped
0.5 tsp paprika,0.5,tsp,paprika,
2 tsp smoked paprika,2,tsp,smoked paprika,
1 tbsp sunflower or coconut oil,1,tbsp,sunflower or coconut oil,
750 g cooked potatoes,750,g,cooked potatoes,
"250 g lean lamb fillet, trimmed of fat and thinly sliced",250,g,lean lamb fillet,trimmed of fat and thinly sliced
1.5 tbsp honey,1.5,tbsp,honey,
"0.5 small red onion, finely chopped",0.5,small,red onion,finely chopped
175 g plain flour,175,g,plain flour,
2 tbsp curry paste,2,tbsp,curry paste,
200 ml hot chicken stock,200,ml,hot chicken stock,
1x 28 oz can whole plum tomatoes,1x,28 oz can,whole plum tomatoes,
"3 cloves garlic, finely chopped",3,cloves,garlic,finely chopped
250 g pack precooked brown rice,250,g,pack precooked brown rice,
1 tsp grated fresh ginger,1,tsp,grated fresh ginger,
1 mug rice,1,mug,rice,
kosher salt,,,kosher salt,
2 tbsp oyster sauce,2,tbsp,oyster sauce,
"1 large courgette, finely chopped",1,large,courgette,finely chopped
"1 lemon, zested and juiced",1,,lemon,zested and juiced
4 brioche buns,4,,brioche buns,
2 stalks lemongrass,2,stalks,lemongrass,
2 tbsp wine vinegar,2,tbsp,wine vinegar,
0.5 tsp salt,0.5,tsp,salt,
"2 large leeks, sliced",2,large,leeks,sliced
1 tbsp water,1,tbsp,water,
2 red peppers,2,,red peppers,
1 lb fusilli or other short curvy pasta,1,lb,fusilli or other short curvy pasta,
1x 400 g tin coconut milk,1x,400 g tin,coconut milk,
"4 carrots, cut into sticks",4,,carrots,cut into sticks
"1 large carrot, finely diced",1,large,carrot,finely diced
1 tbsp olive oil,1,tbsp,olive oil,
1 tbsp chopped fresh coriander,1,tbsp,chopped fresh coriander,
350 g caster sugar,350,g,caster sugar,
"4 skinless chicken breasts, sliced into strips",4,,skinless chicken breasts,sliced into strips
0.5 tsp cayenne pepper,0.5,tsp,cayenne pepper,
zest and juice of 1 large orange,,,zest and juice of 1 large orange,
"1 clove garlic, minced",1,clove,garlic,minced
"1 medium red onion, cut into wedges",1,medium,red onion,cut into wedges
"Neutral oil, for greasing",,,Neutral oil,for greasing
"1 thumb-sized piece ginger, grated",1,thumb-sized piece,ginger,grated
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
"1x 400 g can kidney beans, rinsed and drained",1x,400 g can,kidney beans,rinsed and drained
"2 large carrots (500 g in total), cut into sugar-cube size pieces",2,large,carrots (500 g in total),cut into sugar-cube size pieces
"3 cloves garlic, crushed",3,cloves,garlic,crushed
1 tbsp balsamic vinegar,1,tbsp,balsamic vinegar,
1 tsp vegetable bouillon,1,tsp,vegetable bouillon,
1 tsp ground nutmeg,1,tsp,ground nutmeg,
"1 ripe mango, peeled stoned and cut into bite-sized chunks",1,,ripe mango,peeled  stoned and cut into bite-sized chunks
1.5 tsp chilli powder,1.5,tsp,chilli powder,
2 heaped tsp plain flour,2,heaped tsp,plain flour,
2 serrano or other medium-hot green chillis,2,,serrano or other medium-hot green chillis,
"1 handful flat-leaf parsley, chopped",1,handful,flat-leaf parsley,chopped
"3 cloves garlic, crushed",3,cloves,garlic,crushed
2 tbsp cooking oil of choice,2,tbsp,cooking oil of choice,
"thumb-sized piece root ginger, finely chopped",,thumb-sized piece,root ginger,finely chopped
"1 onion, diced",1,,onion,diced
1.5 mugs basmati rice,1.5,mugs,basmati rice,
550 g frozen white fish fillets,550,g,frozen white fish fillets,
50 g harissa,50,g,harissa,
"1 large lemon, zested, plus &frac13; cup fresh lemon juice",1,large,lemon,"zested, plus &frac13; cup fresh lemon juice"
block puff pastry,,,block puff pastry,
2x 500 g racks pork ribs,2x,500 g racks, pork ribs,
"250 g chestnut mushrooms, sliced",250,g,chestnut mushrooms,sliced
"1x 25 g pack chives, chopped",1x,25 g pack,chives,chopped
1 tbsp caster sugar,1,tbsp,caster sugar,
"450 ml fish or vegetable stock, made using 1 stock pot or cube",450,ml,fish or vegetable stock,made using 1 stock pot or cube
1 bag baby spinach,1,bag,baby spinach,
300 g pearl barley,300,g,pearl barley,
"1 lb ripe red heirloom tomatoes, cut into bite-sized pieces",1,lb,ripe red heirloom tomatoes,cut into bite-sized pieces
"1 clove garlic, finely chopped",1,clove,garlic,finely chopped
"100 g young leaf spinach, roughly chopped",100,g,young leaf spinach,roughly chopped
1 tsp sugar,1,tsp,sugar,
"1 large egg, lightly beaten",1,large,egg,lightly beaten
"pepper, to season",,,pepper,to season
2x 400 g tin finely chopped tomatoes with basil,2x,400 g tin,finely chopped tomatoes with basil,
0.5 tsp cornflour,0.5,tsp,cornflour,
"1 kg lean beef, cubed",1,kg,lean beef,cubed
4 tbsp light creme fraiche,4,tbsp,light creme fraiche,
"210 g can butter beans, drained and rinsed",210,g can,butter beans,drained and rinsed
"1 small courgette, or &frac12; large courgette diced fairly small",1,small,courgette,or &frac12; large courgette  diced fairly small
400 ml water,400,ml,water,
"4 carrots, diced",4,,carrots,diced
1 tsp ground paprika,1,tsp,ground paprika,
"a large thumb-sized piece of fresh ginger, peeled and finely shredded",,,a large thumb-sized piece of fresh ginger,peeled and finely shredded
2 tbsp maple syrup,2,tbsp,maple syrup,
"1 large red pepper, roughly chopped",1,large,red pepper,roughly chopped
"1 large onion, chopped small",1,large,onion,chopped small
160 g smoked bacon lardons,160,g,smoked bacon lardons,
2 tsp chilli flakes,2,tsp,chilli flakes,
2 tbsp olive oil,2,tbsp,olive oil,
2 tbsp oil,2,tbsp,oil,
bag of sweet peppers,,,bag of sweet peppers,
black pepper,,,black pepper,
"50 g butter, diced",50,g,butter,diced
3 tbsp white wine vinegar,3,tbsp,white wine vinegar,
"3 peppers (1 red, 1 orange 1 green), deseeded and cut into chunks",3,,"peppers (1 red, 1 orange  1 green)",deseeded and cut into chunks
2 tbsp sunflower oil,2,tbsp,sunflower oil,
2 heaped tbsp tikka masala paste,2,,heaped tbsp tikka masala paste,
250 g long grain rice,250,g,long grain rice,
5 oz chopped pepperoni,5,oz,chopped pepperoni,
"3 banana shallots, finely chopped",3,,banana shallots,finely chopped
1x 400 g pack Taste the Difference Lincolnshire sausages,1x,400 g pack,Taste the Difference Lincolnshire sausages,
"good pinch nutmeg, freshly grated",,good pinch,nutmeg,freshly grated
"small bunch dill, leaves only, chopped",,small bunch,dill,"leaves only, chopped"
"plain boiled long grain rice, to serve",,,plain boiled long grain rice,to serve
"30 g fresh ginger, peeled and crushed",30,g,fresh ginger,peeled and crushed
1 tbsp olive oil,1,tbsp,olive oil,
"400 g pinto beans, drained",400,g,pinto beans,drained
sea salt and freshly ground black pepper,,,sea salt and freshly ground black pepper,
3 tbsp fat-free Greek yogurt,3,tbsp,fat-free Greek yogurt,
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
"1 cup coconut milk, whisked to combine liquid and solids",1,cup,coconut milk,whisked to combine liquid and solids
2 tsp each dried oregano and thyme,2,tsp,each dried oregano and thyme,
"1x 185 g can tuna in spring water, drained",1x,185 g can,tuna in spring water,drained
"800 g Maris Piper or King Edward potatoes, peeled",800,g,Maris Piper or King Edward potatoes,peeled
2 pak choi,2,,pak choi,
3 eggs,3,,eggs,
"3 cloves garlic, crushed",3,cloves,garlic,crushed
"250 g pack streaky bacon, diced",250,g,pack streaky bacon,diced
9-10 oz fresh green fettuccine noodles,9-10,oz,fresh green fettuccine noodles,
2 tbsp olive oil,2,tbsp,olive oil,
260 g young spinach,260,g,young spinach,
1 tbsp lime juice,1,tbsp,lime juice,
"200 g chorizo, cut into small chunks",200,g,chorizo,cut into small chunks
1 tsp smoked paprika,1,tsp,smoked paprika,
0.5x 28 g pack fesh basil leaves,0.5x,28 g pack,fesh basil leaves,
2 tsp cornflour,2,tsp,cornflour,
1 cup chopped celery,1,cup,chopped celery,
0.5 tsp salt,0.5,tsp,salt,
90 g grated cheddar cheese,90,g,grated cheddar cheese,
2x 140 g skinless salmon fillets,2x,140 g,skinless salmon fillets,
0.333 cup flat leaf parsley,0.333,cup,flat leaf parsley,
2 tsps garam masala,2,tsps,garam masala,
"1 clove garlic, crushed",1,clove,garlic,crushed
zest of 2 lemons,,,zest of 2 lemons,
"Juice of 1 large lemon, plus lemon slices to garnish",,,Juice of 1 large lemon,plus lemon slices to garnish
"8 rashers smoked streaky bacon, cut into large pieces",8,rashers,smoked streaky bacon,cut into large pieces
250 ml whole milk,250,ml,whole milk,
"850 g lamb neck fillet, cut into 2 to 3 cm pieces",850,g,lamb neck fillet,cut into 2 to 3 cm pieces
0.5 tsp turmeric,0.5,tsp,turmeric,
"50 g ginger, roughly chopped",50,g,ginger,roughly chopped
"1 tbsp sesame seeds, to serve",1,tbsp,sesame seeds,to serve
"1 lb penne, or other tubular pasta",1,lb,penne,or other tubular pasta
2 skinless chicken breast fillets,2,,skinless chicken breast fillets,
"12 large eggs, lightly whisked",12,large,eggs,lightly whisked
1 small glass white wine,1,small,glass white wine,
"4 slices bacon, cooked and crumbled",4,slices,bacon,cooked and crumbled
1 tsp fresh lemon juice,1,tsp,fresh lemon juice,
"2 cloves garlic, crushed",2,cloves,garlic,crushed
"4 medium potatoes, peeled and cut into 2 cm chunks",4,medium,potatoes,peeled and cut into 2 cm chunks
"1 large onion, chopped",1,large,onion,chopped
2 tbsp plain flour,2,tbsp,plain flour,
2 cloves,2,,cloves,
"5 slices American cheese, ripped into small pieces",5,,slices American cheese,ripped into small pieces
a little oil to fry,,,a little oil to fry,
"4 sticks celery, chopped",4,sticks,celery,chopped
1 tsp hot chilli powder,1,tsp,hot chilli powder,
Parmesan (optional),,,Parmesan (optional),
salt and pepper,,,salt and pepper,
"handful parsley leaves, chopped",,handful,parsley leaves,chopped
juice of &frac12; lemon,,,juice of &frac12; lemon,
"1 bunch spring onions, cut into small pieces",1,bunch,spring onions,cut into small pieces
"1 red onion, sliced",1,,red onion,sliced
juice of 1 lemon,,,juice of 1 lemon,
2 tsp soy sauce,2,tsp,soy sauce,
3 cups oil-packed tuna,3,cups,oil-packed tuna,
500 g lean minced beef,500,g,lean minced beef,
1 heaped tbsp smoked paprika,1,heaped tbsp,smoked paprika,
2x 400 g cans kidney beans in chilli sauce,2x,400 g cans,kidney beans in chilli sauce,
2 generous pinches saffron threads,2,generous pinches,saffron threads,
Kosher salt,,,Kosher salt,
1 tsp caster sugar,1,tsp,caster sugar,
0.5 lemon,0.5,,lemon,
"1 bunch spring onions, trimmed",1,bunch,spring onions,trimmed
100 ml half-fat crème fraîche,100,ml,half-fat crème fraîche,
2 pork steaks,2,,pork steaks,
200 g rigatoni,200,g,rigatoni,
2 bay leaves,2,,bay leaves,
"120 ml pink grapefruit juice, including the bits",120,ml,pink grapefruit juice,including the bits
2 tbsp garlic oil,2,tbsp,garlic oil,
zest of 4 and juice of 8 limes,,,zest of 4 and juice of 8 limes,
"450 g new potatoes, scrubbed and cut into chunks",450,g,new potatoes,scrubbed and cut into chunks
"300 g mushrooms, chopped",300,g,mushrooms,chopped
2 tbsp unsalted butter,2,tbsp,unsalted butter,
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
500 g tomatoes,500,g,tomatoes,
1 tsp sugar,1,tsp,sugar,
1 low-salt vegetable stock cube,1,,low-salt vegetable stock cube,
50 g butter,50,g,butter,
juice of lime,,,juice of lime,
300 g dried fusilli,300,g,dried fusilli,
4 vine tomatoes,4,,vine tomatoes,
"100 g baby leaf spinach, finely chopped",100,g,baby leaf spinach,finely chopped
"bunch coriander, leaves roughly chopped",,bunch,coriander,leaves roughly chopped
Reserved cilantro leaves for garnish,,,Reserved cilantro leaves for garnish,
1 vegetable stock cube,1,,vegetable stock cube,
4 pitta breads,4,,pitta breads,
"small bunch parsley or basil, chopped",,small bunch,parsley or basil,chopped
"3 cloves garlic, crushed",3,cloves,garlic,crushed
"50 g Parmesan cheese, chopped into small chunks",50,g,Parmesan cheese,chopped into small chunks
"1 onion, sliced",1,,onion,sliced
1 tbsp oil,1,tbsp,oil,
3 tbsp light soy sauce,3,tbsp,light soy sauce,
"1 large cauliflower (about 400 g), cut into florets",1,large,cauliflower (about 400 g),cut into florets
pinch chilli flakes,,pinch,chilli flakes,
1 tbsp light soy sauce,1,tbsp,light soy sauce,
330 g self-rising flour,330,g,self-rising flour,
"2 carrots, peeled and cut into bite-sized pieces",2,,carrots,peeled and cut into bite-sized pieces
4 tbsp clear honey,4,tbsp,clear honey,
"2 courgettes, sliced into chunks",2,,courgettes,sliced into chunks
1 tsp olive oil,1,tsp,olive oil,
"3 spring onions, julienned",3,,spring onions,julienned
"475 ml water, or homemade or store-bought low-sodium chicken stock",475,ml,water,or homemade or store-bought low-sodium chicken stock
large knob ginger,,large knob,ginger,
"1 small pack mint, leaves picked",1,small pack,mint,leaves picked
"3 chicken breasts, cut into bitesized pieces",3,,chicken breasts,cut into bitesized pieces
"1 shallot, finely chopped",1,,shallot,finely chopped
1-2 tbsp olive or rapeseed oil,1-2,tbsp,olive or rapeseed oil,
0.5 tbsp toasted sesame oil,0.5,tbsp,toasted sesame oil,
"3 tbsp coriander, chopped",3,tbsp,coriander,chopped
2 tbsp olive oil,2,tbsp,olive oil,
"1 small cauliflower, broken into small florets",1,small,cauliflower,broken into small florets
"pinch , caster sugar",,pinch,,caster sugar
600 ml beef stock,600,ml,beef stock,
2 tbsp plain flour,2,tbsp,plain flour,
"450 g ripe tomatoes, halved",450,g,ripe tomatoes,halved
"1 small pack parsley, chopped",1,small,pack parsley,chopped
25 g toasted flaked almonds,25,g,toasted flaked almonds,
1x 230 g can chopped tomatoes,1x,230 g can,chopped tomatoes,
1 tbsp thyme leaves,1,tbsp,thyme leaves,
1 tbsp cornflour,1,tbsp,cornflour,
"1 red pepper, deseeded and diced",1,,red pepper,deseeded and diced
0.125 tsp salt,0.125,tsp,salt,
1 lime or 6-8 lime leaves,1,,lime or 6-8 lime leaves,
0.75 tsp kosher salt,0.75,tsp,kosher salt,
2 tbsps butter,2,tbsps,butter,
Kosher salt and black pepper,,,Kosher salt and black pepper,
"1 large red onion, finely chopped (160 g)",1,large,red onion,finely chopped (160 g)
25 g butter,25,g,butter,
1 cups corn,1,cups,corn,
"150 g pitted Kalamata or Queen olives, drained",150,g,pitted Kalamata or Queen olives,drained
"1 tbsp Dijon mustard, mustard",1,tbsp,Dijon mustard,mustard
"2 courgettes, sliced thickly (about 300 g)",2,,courgettes,sliced thickly (about 300 g)
"8 cloves garlic, thinly sliced",8,cloves,garlic,thinly sliced
white cabbage,,,white cabbage,
2 mugs water,2,mugs,water,
100 ml hot chicken stock or lamb stock (from a cube is fine),100,ml,hot chicken stock or lamb stock (from a cube is fine),
"0.5 lemon, juiced",0.5,,lemon,juiced
500 g strong white bread flour,500,g,strong white bread flour,
"2 tbsp ghee, melted",2,tbsp,ghee,melted
"0.5 small clove garlic, crushed",0.5,small clove,garlic,crushed
0.5x 160 g pack pancetta di cubetti,0.5x,160 g pack,pancetta di cubetti,
"juice of 0.5 lemon, plus wedges to serve",,,juice of 0.5 lemon,plus wedges to serve
juice of &frac12; lemon,,,juice of &frac12; lemon,
4 small eggs,4,small,eggs,
0.25 cup thinly sliced scallions,0.25,cup,thinly sliced scallions,
"thumb-sized piece ginger, peeled and grated",,thumb-sized piece,ginger,peeled and grated
1x 240 g pack salmon fillets,1x,240 g pack,salmon fillets,
2 tbsp nutritional yeast,2,tbsp,nutritional yeast,
"2 medium carrots, cut into matchsticks",2,medium,carrots,cut into matchsticks
dried chilli flakes,,,dried chilli flakes,
"1 onion, finely chopped",1,,onion,finely chopped
2 tbsp tomato puree,2,tbsp,tomato puree,
1 tsp ground cumin,1,tsp,ground cumin,
1.5 tbsp english mustard,1.5,tbsp,english mustard,
"1 Romaine heart, torn into chunky pieces",1,,Romaine heart,torn into chunky pieces
"2 spring onions, thinly sliced",2,,spring onions,thinly sliced
80 g golden syrup,80,g,golden syrup,
"4-6 sausages, pork, herby or vegetarian",4-6,,sausages,"pork, herby or vegetarian"
1 tsp salt,1,tsp,salt,
2 mugs rigatoni,2,mugs,rigatoni,
"200 g streaky bacon, cut into 2 cm strips",200,g,streaky bacon,cut into 2 cm strips
salt and pepper,,,salt and pepper,
1 tbsp olive oil,1,tbsp,olive oil,
4 tbsp light brown sugar,4,tbsp,light brown sugar,
1.5 tbsp fennel seeds,1.5,tbsp,fennel seeds,
115 g frozen peas,115,g,frozen peas,
2 chicken stock cubes,2,,chicken stock cubes,
"2 courgettes, sliced on the diagonal then chopped into batons",2,,courgettes,sliced on the diagonal then chopped into batons
1x 180 g pack raw peeled king prawns,1x,180 g pack,raw peeled king prawns,
black pepper,,,black pepper,
salt,,,salt,
1 ripe medium avocado,1,,ripe medium avocado,
1x 150 g pack diced chorizo,1x,150 g pack,diced chorizo,
2 tbsp olive oil,2,tbsp,olive oil,
2 tsp paprika,2,tsp,paprika,
280 ml chicken stock,280,ml,chicken stock,
100 g red split lentils,100,g,red split lentils,
"2 eggs, beaten",2,,eggs,beaten
100 g blue cheese,100,g,blue cheese,
"1 tsp dried or 1 tbsp chopped fresh oregano, plus extra to serve",1,tsp,dried or 1 tbsp chopped fresh oregano,plus extra to serve
0.5 lb penne pasta,0.5,lb,penne pasta,
1 tsp red wine vinegar,1,tsp,red wine vinegar,
"2 cloves garlic, finely sliced",2,cloves,garlic,finely sliced
25 g butter,25,g,butter,
2 tbsps vegetable oil,2,tbsps,vegetable oil,
2 tbsp tomato puree,2,tbsp,tomato puree,
2 tbsp dried breadcrumbs,2,tbsp,dried breadcrumbs,
2 skinless chicken breasts,2,,skinless chicken breasts,
1 tbsp brown sugar,1,tbsp,brown sugar,
2 tsp ground cumin,2,tsp,ground cumin,
"200 g pack of mangetout and baby sweetcorn, both cut in half length ways",200,g,pack of mangetout and baby sweetcorn,both cut in half length ways
"1 mug frozen peas, defrosted",1,mug,frozen peas,defrosted
"1 onion, finely chopped",1,,onion,finely chopped
1 Scotch Bonnet chilli pepper,1,,Scotch Bonnet chilli pepper,
2 cup cherry tomatoes,2,cup,cherry tomatoes,
zest and juice of 1 lemon,,,zest and juice of 1 lemon,
2 tbsp sun-dried tomato puree,2,tbsp,sun-dried tomato puree,
