input,quantity,unit,item,comment
"8 large good-quality, herby pork sausages",8,large,"good-quality, herby pork sausages",
1 bay leaf,1,,bay leaf,
Salt and freshly milled black pepper,,,Salt and freshly milled black pepper,
175 g Puy lentils,175,g,Puy lentils,
"1 large onion, chopped small",1,large,onion,chopped small
"2 cloves garlic, crushed",2,cloves,garlic,crushed
25 g butter,25,g,butter,
2 tbsp groundnut or other flavourless oil,2,tbsp,groundnut or other flavourless oil,
400 g tinned chopped tomatoes,400,g,tinned chopped tomatoes,
1 tsp granulated sugar,1,tsp,granulated sugar,
1 tbsp chopped fresh thyme,1,tbsp,chopped fresh thyme,
2 red pepper,2,,red pepper,
2 shallot,2,,shallot,
120 g pancetta lardons,120,g,pancetta lardons,
2x 400 g tin finely chopped tomatoes with basil,2x,400 g tin,finely chopped tomatoes with basil,
1 tsp smoked paprika,1,tsp,smoked paprika,
2 chicken stock cubes,2,,chicken stock cubes,
400 g penne pasta,400,g,penne pasta,
2 tbsp olive oil,2,tbsp,olive oil,
2 clove garlic,2,clove,garlic,
2 ciabatta,2,,ciabatta,
150 g grated Italian style hard cheese,150,g,grated Italian style hard cheese,
1 bunch chives,1,bunch,chives,
1 pinch chilli flakes,1,pinch,chilli flakes,
"600 g parsnips, peeled and cut into 4 cm chunks",600,g,parsnips,peeled and cut into 4 cm chunks
120 ml olive oil,120,ml,olive oil,
"560 g smoked cod or haddock fillets (undyed), skinless and boneless, chopped into 4 cm pieces",560,g,smoked cod or haddock fillets (undyed),"skinless and boneless, chopped into 4 cm pieces"
"20 g dill, roughly chopped",20,g,dill,roughly chopped
"20 g chives, roughly chopped",20,g,chives,roughly chopped
"2 cloves garlic, crushed",2,cloves,garlic,crushed
"2 lemons, finely grate the zest to get 2 tsp, then cut into wedges, to serve",2,,lemons,"finely grate the zest to get 2 tsp, then cut into wedges, to serve"
"2 large eggs, lightly whisked",2,large,eggs,lightly whisked
40 g unsalted butter,40,g,unsalted butter,
salt and black pepper,,,salt and black pepper,
2x 300 g packs skin-on sweet potato chips,2x,300 g packs,skin-on sweet potato chips,
2 tbsp olive oil,2,tbsp,olive oil,
1x 30 g pack coriander,1x,30 g pack,coriander,
3-5 slices pickled jalapeños from a jar,3-5,slices,pickled jalapeños from a jar,
"1 ripe avocado, stoned",1,,ripe avocado,stoned
50 g feta,50,g,feta,
"1x 325 g tin sweetcorn, drained",1x,325 g tin,sweetcorn,drained
4 pork loin steaks (480 g pack),4,,pork loin steaks (480 g pack),
2 tbsp peri peri sauce (we used medium),2,tbsp,peri peri sauce (we used medium),
8 chicken thighs,8,,chicken thighs,
3 tbsp grated fresh ginger,3,tbsp,grated fresh ginger,
"4 cloves garlic, finely chopped",4,cloves,garlic,finely chopped
juice of lemon,,,juice of lemon,
1 tsp paprika,1,tsp,paprika,
1 tsp ground coriander,1,tsp,ground coriander,
1 tbsp oil,1,tbsp,oil,
"2 onions, cut into wedges",2,,onions,cut into wedges
1x 400 ml cans coconut milk,1x,400 ml cans,coconut milk,
"1 pinch saffron, or 1 tsp tumeric",1,pinch,saffron,or 1 tsp tumeric
"1 fat red chilli, desseded and cut into slices",1,,fat red chilli,desseded and cut into slices
0.5 chicken stock cube,0.5,,chicken stock cube,
1 tbsp chopped fresh coriander,1,tbsp,chopped fresh coriander,
2 mugs rice,2,mugs,rice,
1 mug peas,1,mug,peas,
4 naan breads,4,,naan breads,
25 g butter,25,g,butter,
"900 g mixed mushrooms, cut into bitesized pieces",900,g,mixed mushrooms,cut into bitesized pieces
350 g white long grain rice,350,g,white long grain rice,
350 ml white wine sauce,350,ml,white wine sauce,
250 ml sour cream,250,ml,sour cream,
"chopped chives, to garnish",,,chopped chives,to garnish
"640 g skinless chicken thigh fillets, each cut into thirds",640,g,skinless chicken thigh fillets,each cut into thirds
1 tbsp olive oil,1,tbsp,olive oil,
"1 onion, sliced",1,,onion,sliced
"300 g leeks (about 2), thickly sliced",300,g,leeks (about 2),thickly sliced
"500 ml chicken stock, use gluten-free if required",500,ml,chicken stock,use gluten-free if required
"3 tbsp tarragon, chopped",3,tbsp,tarragon,chopped
zest and juice of 1 lemon,,,zest and juice of 1 lemon,
"200 g Chantenay carrots, trimmed and halved lengthways",200,g,Chantenay carrots,trimmed and halved lengthways
"350 g new potatoes, quartered lengthways",350,g,new potatoes,quartered lengthways
"150 g green beans, trimmed and halved",150,g,green beans,trimmed and halved
125 g frozen edamame beans,125,g,frozen edamame beans,
2 tbsp cornflour,2,tbsp,cornflour,
100 ml half-fat crème fraîche,100,ml,half-fat crème fraîche,
2 tbsp toasted sesame oil,2,tbsp,toasted sesame oil,
"2 shallots, diced",2,,shallots,diced
"1-2 jalapeno or serrano peppers, seeded if you like minced",1-2,,jalapeno or serrano peppers,seeded if you like  minced
"1.25 tsp fine sea salt, plus more to taste",1.25,tsp,fine sea salt,plus more to taste
2 tsp freshly grated or minced ginger,2,tsp,freshly grated or minced ginger,
"2 large cloves garlic, finely grated or minced",2,large cloves,garlic,finely grated or minced
1 14 oz can unsweetened coconut milk,1,14 oz can,unsweetened coconut milk,
0.5 cup chopped cilantro leaves,0.5,cup,chopped cilantro leaves,
1 lb peeled large shrimp,1,lb,peeled large shrimp,
1 tbsp freshly grated lime zest,1,tbsp,freshly grated lime zest,
"1 tbsp fresh lime juice, plus more to taste",1,tbsp,fresh lime juice,plus more to taste
1 tsp coconut sugar or light brown sugar,1,tsp,coconut sugar or light brown sugar,
"1 tsp Asian fish sauce, plus more to taste",1,tsp,Asian fish sauce,plus more to taste
"cooked rice, for serving",,,cooked rice,for serving
"lime wedges, for serving",,,lime wedges,for serving
1 tbsp vegetable oil,1,tbsp,vegetable oil,
"1 onion, finely chopped",1,,onion,finely chopped
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
"thumb-sized piece ginger, peeled and finely chopped",,thumb-sized piece,ginger,peeled and finely chopped
"1 small pack coriander, stalks finely chopped leaves roughly shredded",1,small pack,coriander,stalks finely chopped  leaves roughly shredded
1 tsp ground cumin,1,tsp,ground cumin,
1 tsp ground paprika,1,tsp,ground paprika,
2 tsp garam masala,2,tsp,garam masala,
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
"1x 400 g can kidney beans, in water",1x,400 g can,kidney beans,in water
"cooked basmati rice, to serve",,,cooked basmati rice,to serve
60 g butter,60,g,butter,
"1 large onion, finely chopped",1,large,onion,finely chopped
"2 sprigs thyme, leaves picked",2,sprigs,thyme,leaves picked
"250 g pack chestnut mushrooms, sliced",250,g,pack chestnut mushrooms,sliced
300 g risotto rice,300,g,risotto rice,
1.5 l hot chicken stock,1.5,l,hot chicken stock,
"200 g cooked chicken, chopped into chunks",200,g,cooked chicken,chopped into chunks
"50 g grated parmesan, plus extra to serve (optional)",50,g,grated parmesan,plus extra to serve (optional)
"small pack parsley, finely chopped",,small pack,parsley,finely chopped
400 g lamb mince,400,g,lamb mince,
"1 small red onion, &frac12; grated &frac12; thinly sliced",1,small,red onion,&frac12; grated  &frac12; thinly sliced
"handful parsley, roughly chopped",,handful,parsley,roughly chopped
"handful mint, roughly chopped",,handful,mint,roughly chopped
"1 tsp olive oil, oil",1,tsp,olive oil,oil
"2 sweet potatoes, cut into chips",2,,sweet potatoes,cut into chips
1 tbsp light soy sauce,1,tbsp,light soy sauce,
4 bread rolls,4,,bread rolls,
couple handfuls watercress,,,couple handfuls watercress,
1 tsp olive oil,1,tsp,olive oil,
1x 400 g pack Toulouse-inspired sausages,1x,400 g pack,Toulouse-inspired sausages,
"1 onion, finely chopped",1,,onion,finely chopped
"1 large carrot, finely diced",1,large,carrot,finely diced
"1 stick celery, finely diced",1,stick,celery,finely diced
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
"1x 400 g tin cannellini beans, drained and rinsed",1x,400 g tin,cannellini beans,drained and rinsed
3 tbsp sundried tomato paste,3,tbsp,sundried tomato paste,
1 bay leaf,1,,bay leaf,
250 ml hot chicken stock,250,ml,hot chicken stock,
"handful of flat-leaf parsley, roughly chopped",,,handful of flat-leaf parsley,roughly chopped
"180 g pack peeled raw prawns, roughly chopped",180,g,pack peeled raw prawns,roughly chopped
"4 skinless salmon fillets, chopped into small chunks",4,,skinless salmon fillets,chopped into small chunks
"3 spring onions, roughly chopped",3,,spring onions,roughly chopped
"1 lemon, zeststed and juiced",1,,lemon,zeststed and juiced
small pack coriander,,small pack,coriander,
60 g mayonnaise or Greek yogurt,60,g,mayonnaise or Greek yogurt,
4 tsp chilli sauce (we used sriracha),4,tsp,chilli sauce (we used sriracha),
"2 Little Gem lettuces, shredded",2,,Little Gem lettuces,shredded
"1 cucumber, peeled into ribbons",1,,cucumber,peeled into ribbons
1 tbsp olive oil,1,tbsp,olive oil,
"4 seeded burger buns, toasted, to serve",4,,seeded burger buns,"toasted, to serve"
500 g short pasta shapes,500,g,short pasta shapes,
"6 tbsp extra virgin olive oil, plus extra for sprinkling",6,tbsp,extra virgin olive oil,plus extra for sprinkling
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
0.5 tsp chilli flakes,0.5,tsp,chilli flakes,
"500 g fresh or frozen broad beans, thawed if frozen",500,g,fresh or frozen broad beans,thawed if frozen
2 tbsp finely chopped fresh parsley,2,tbsp,finely chopped fresh parsley,
1 tbsp freshly grated vegetarian Parmesan cheese,1,tbsp,freshly grated vegetarian Parmesan cheese,
1 tbsp olive oil,1,tbsp,olive oil,
"1 bulb fennel, trimmed and diced",1,bulb,fennel,trimmed and diced
"1 echalion shallot, finely sliced",1,,echalion shallot,finely sliced
"1 clove garlic, crushed",1,clove,garlic,crushed
150 g orzo pasta,150,g,orzo pasta,
100 ml white wine,100,ml,white wine,
"450 ml fish or vegetable stock, made using 1 stock pot or cube",450,ml,fish or vegetable stock,made using 1 stock pot or cube
100 g baby leaf spinach,100,g,baby leaf spinach,
"200 g raw seafood selection, defrosted",200,g,raw seafood selection,defrosted
"zest of 1 lemon, juice of &frac12; and wedges to serve",,,zest of 1 lemon,juice of &frac12; and wedges to serve
"0.5x 20 g pack dill, chopped (reserve some fronds for garnish)",0.5x,20 g pack,dill,chopped (reserve some fronds for garnish)
1 tbsp oil,1,tbsp,oil,
"8 chicken pieces or 1 whole chicken, jointed",8,,chicken pieces or 1 whole chicken,jointed
"1 large onion, chopped",1,large,onion,chopped
"1 red pepper, deseeded and chopped into large chunks",1,,red pepper,deseeded and chopped into large chunks
"3 cloves garlic, crushed",3,cloves,garlic,crushed
"225 g chorizo, skinned and sliced",225,g,chorizo,skinned and sliced
1 tbsp tomato purée,1,tbsp,tomato purée,
"1 tbsp thyme leaf, chopped",1,tbsp,thyme leaf,chopped
150 ml white wine,150,ml,white wine,
850 ml chicken stock,850,ml,chicken stock,
400 g long grain rice,400,g,long grain rice,
2 tbsp chopped parsley,2,tbsp,chopped parsley,
"4 salmon fillets, about 100 g each",4,,salmon fillets,about 100 g each
2 tbsp soy sauce,2,tbsp,soy sauce,
2 tbsp clear honey,2,tbsp,clear honey,
finely grated zest and juice 1 lemon,,,finely grated zest and juice 1 lemon,
"2 cloves garlic, thinly sliced",2,cloves,garlic,thinly sliced
"2.5 cm piece ginger, finely grated",2.5,cm piece,ginger,finely grated
"8 spring onions, finely shredded",8,,spring onions,finely shredded
1 tsp sesame oil,1,tsp,sesame oil,
100 g mangetout,100,g,mangetout,
"2 medium carrots, cut into matchsticks",2,medium,carrots,cut into matchsticks
"100 g baby corn, halved",100,g,baby corn,halved
"2 courgettes, cut into matchsticks",2,,courgettes,cut into matchsticks
2 tsp oil,2,tsp,oil,
"1 clove garlic, chopped finely",1,clove,garlic,chopped finely
2 tbsp hoisin sauce,2,tbsp,hoisin sauce,
2 tsp soy sauce,2,tsp,soy sauce,
juice of 1 lime,,,juice of 1 lime,
2 tsp ground cumin,2,tsp,ground cumin,
"0.5 fat red chilli, deseeded and cut into rings",0.5,,fat red chilli,deseeded and cut into rings
"3 chicken breasts, cut into thin strips",3,,chicken breasts,cut into thin strips
1 tbsp oil,1,tbsp,oil,
1 bag bistro salad,1,bag,bistro salad,
1 tbsp olive oil,1,tbsp,olive oil,
juice of 1 lime,,,juice of 1 lime,
2 tsp sugar,2,tsp,sugar,
1 tbsp chopped fresh coriander leaves,1,tbsp,chopped fresh coriander leaves,
"40 g dried porcini mushrooms, roughly chopped",40,g,dried porcini mushrooms,roughly chopped
200 g dried brown lentils,200,g,dried brown lentils,
1.5 tbsp chopped rosemary,1.5,tbsp,chopped rosemary,
3 tbsp rapeseed oil,3,tbsp,rapeseed oil,
"2 large onions, roughly chopped",2,large,onions,roughly chopped
150 g chestnut baby button mushrooms,150,g,chestnut baby button mushrooms,
"4 cloves garlic, finely grated",4,cloves,garlic,finely grated
2 tbsp vegetable bouillon powder,2,tbsp,vegetable bouillon powder,
"2 large carrots, cut into chunks",2,large,carrots,cut into chunks
"3 sticks celery, chopped",3,sticks,celery,chopped
"500 g potatoes, cut into chunks",500,g,potatoes,cut into chunks
"200 g cavolo nero, shredded",200,g,cavolo nero,shredded
600 g sweet potatoes,600,g,sweet potatoes,
0.5 tsp cayenne pepper,0.5,tsp,cayenne pepper,
2 tbsp olive oil,2,tbsp,olive oil,
"1x 270 g pack Vittoria cherry tomatoes, halved",1x,270 g pack,Vittoria cherry tomatoes,halved
1x 250 g pot ricotta,1x,250 g pot,ricotta,
6 large eggs,6,large,eggs,
"1x 25 g pack chives, chopped",1x,25 g pack,chives,chopped
2.5 cups flour,2.5,cups,flour,
1.5 cups sugar,1.5,cups,sugar,
4 tsp baking powder,4,tsp,baking powder,
1 tsp baking soda,1,tsp,baking soda,
1.5 tsp all spice,1.5,tsp,all spice,
1 tsp cinnamon,1,tsp,cinnamon,
0.75 tsp ground cloves,0.75,tsp,ground cloves,
0.5 cup oil,0.5,cup,oil,
2 eggs,2,,eggs,
0.25 cups water,0.25,cups,water,
1 can tomato soup,1,can,tomato soup,
1 tub Betty Crocker Rich and Creamy vanilla frosting,1,tub,Betty Crocker Rich and Creamy vanilla frosting,
1 tbsp oil,1,tbsp,oil,
"1 onion, chopped",1,,onion,chopped
2 tbsp medium curry powder,2,tbsp,medium curry powder,
"thumb-sized piece ginger, peeled and finely grated",,thumb-sized piece,ginger,peeled and finely grated
"3 cloves garlic, crushed",3,cloves,garlic,crushed
2x 400 g cans chopped tomatoes,2x,400 g cans,chopped tomatoes,
1x 400 g can chickpeas,1x,400 g can,chickpeas,
4 cod fillets (about 125-150 g each),4,,cod fillets (about 125-150 g each),
"zest 1 lemon, then cut into wedges",,,zest 1 lemon,then cut into wedges
"handful coriander, roughly chopped",,handful,coriander,roughly chopped
6 good quality sausages,6,,good quality sausages,
oil to fry,,,oil to fry,
"1 onion, chopped",1,,onion,chopped
"1 red pepper, deseeded and chopped",1,,red pepper,deseeded and chopped
"2 cloves garlic, crushed",2,cloves,garlic,crushed
1 tbsp smoked paprika,1,tbsp,smoked paprika,
250 g long grain rice,250,g,long grain rice,
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
400-500 ml chicken stock,400-500 ml,,chicken stock,
260 g cooked and peeled king prawns,260,g,cooked and peeled king prawns,
8 oz butter,8,oz,butter,
3 tbsp caster sugar,3,tbsp,caster sugar,
5.5 oz plain flour,5.5,oz,plain flour,
1 tin of condensed milk,1,tin,of condensed milk,
2 tbsp honey,2,tbsp,honey,
3 oz brown sugar,3,oz,brown sugar,
8 oz chocolate,8,oz,chocolate,
2 mugs pasta/4 bunches tagliatelle,2,mugs,pasta/4 bunches tagliatelle,
250 g streaky bacon,250,g,streaky bacon,
1 tbsp olive oil,1,tbsp,olive oil,
"1 yellow/orange pepper, cut into small chunks",1,,yellow/orange pepper,cut into small chunks
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
"bunch spring onions, chopped",,bunch,spring onions,chopped
"250 g chestnut mushrooms, sliced",250,g,chestnut mushrooms,sliced
300 ml Greek Yoghurt,300,ml,Greek Yoghurt,
0.5 mug pine nutes,0.5,mug,pine nutes,
2 tbsp freshly chopped basil,2,tbsp,freshly chopped basil,
2 tbsp plain flour,2,tbsp,plain flour,
2 tsp Cajun seasoning,2,tsp,Cajun seasoning,
0.5 tsp salt,0.5,tsp,salt,
"4 boneless skinless chicken breasts, about 140 g each",4,,boneless skinless chicken breasts,about 140 g each
2 tbsp olive oil,2,tbsp,olive oil,
"tzatziki, mixed salad and new potatoes, to serve",,,"tzatziki, mixed salad and new potatoes",to serve
1 onion,1,,onion,
2 sticks celery,2,sticks,celery,
1 carrot,1,,carrot,
"1 red apple, cored",1,,red apple,cored
1 clove garlic,1,clove,garlic,
2 tbsp olive oil,2,tbsp,olive oil,
500 g minced pork,500,g,minced pork,
500 g passata,500,g,passata,
1 veg stock cube,1,,veg stock cube,
1 tbsp sun-dried tomato puree,1,tbsp,sun-dried tomato puree,
spaghetti or pasta,,,spaghetti or pasta,
2 tbsp freshly chopped parsley,2,tbsp,freshly chopped parsley,
Parmesan to serve,,,Parmesan to serve,
"small eating apple, quartered, cored and grated",,small,eating apple,"quartered, cored and grated"
250 g pork mince,250,g,pork mince,
"2 spring onions, trimmed and finely chopped",2,,spring onions,trimmed and finely chopped
2 tbsp dried breadcrumbs,2,tbsp,dried breadcrumbs,
2 tsp wholegrain mustard,2,tsp,wholegrain mustard,
"small pack parsley, trimmed and finely chopped",,small pack,parsley,trimmed and finely chopped
"1 egg, beaten",1,,egg,beaten
"rocket, to serve (optional)",,,rocket,to serve (optional)
"100 g fresh pineapple, cut into chunks",100,g,fresh pineapple,cut into chunks
1 tbsp extra-virgin olive oil,1,tbsp,extra-virgin olive oil,
0.5 tsp dried oregano,0.5,tsp,dried oregano,
"2 lemons, 1.5 juiced, 0.5 sliced",2,,lemons,"1.5 juiced, 0.5 sliced"
"2 large chicken thighs, skin on bone in",2,large,chicken thighs,skin on  bone in
200 g tenderstem broccoli,200,g,tenderstem broccoli,
"100 g baby leaf spinach, finely chopped",100,g,baby leaf spinach,finely chopped
250 g spaghetti,250,g,spaghetti,
"1 onion, thinly sliced",1,,onion,thinly sliced
1 clove garlic,1,clove,garlic,
1x 200 g pack pancetta lardons,1x,200 g pack,pancetta lardons,
1 tbsp olive oil,1,tbsp,olive oil,
2 eggs,2,,eggs,
a little freshly grated parmesan,,,a little freshly grated parmesan,
1 tbsp chopped fresh basil,1,tbsp,chopped fresh basil,
8 chicken drumsticks,8,,chicken drumsticks,
3 tbsp olive oil,3,tbsp,olive oil,
1 tsp garlic paste,1,tsp,garlic paste,
1 tsp ginger paste,1,tsp,ginger paste,
1 tsp garam masala,1,tsp,garam masala,
1 tsp turmeric,1,tsp,turmeric,
150 ml pot natural yogurt,150,ml,pot natural yogurt,
"500 g new potatoes, halved",500,g,new potatoes,halved
"4 large tomatoes, roughly chopped",4,large,tomatoes,roughly chopped
"1 red onion, finely chopped",1,,red onion,finely chopped
"small pack coriander, roughly chopped",,small pack,coriander,roughly chopped
14 oz Andouille sausage,14,oz,Andouille sausage,
1 tbsp cooking oil,1,tbsp,cooking oil,
1 bell pepper,1,,bell pepper,
1 tsp smoked paprika,1,tsp,smoked paprika,
0.5 tsp dried oregano,0.5,tsp,dried oregano,
0.5 tsp dried thyme,0.5,tsp,dried thyme,
0.25 tsp garlic powder,0.25,tsp,garlic powder,
0.25 tsp onion powder,0.25,tsp,onion powder,
0.125 tsp cayenne pepper,0.125,tsp,cayenne pepper,
0.125 tsp freshly cracked black pepper,0.125,tsp,freshly cracked black pepper,
1 15 oz can fire roasted diced tomatoes,1,15 oz can,fire roasted diced tomatoes,
1 cup long grain white rice,1,cup,long grain white rice,
1.5 cups chicken broth,1.5,cups,chicken broth,
"2 green onions, sliced",2,,green onions,sliced
1 leg lamb (or half leg),1,leg,lamb (or half leg),
10 cloves (approx),10,,cloves (approx),
3 sprigs rosemary (approx),3,sprigs,rosemary (approx),
1 tbsp cranberry sauce (heaped tbsp. I prefer to use chunky cranberry sauce but smooth is fine if that's what you've got),1,tbsp,cranberry sauce (heaped tbsp. I prefer to use chunky cranberry sauce but smooth is fine if that's what you've got),
0.25 orange (zest only),0.25,,orange (zest only),
Salt,,,Salt,
"800 g scrag end/lamb neck, on the bone in thick slices or 600 g boneless lamb shoulder",800,g,scrag end/lamb neck,on the bone  in thick slices  or 600 g boneless lamb shoulder
2 tbsp beef dripping or neutral oil,2,tbsp,beef dripping or neutral oil,
"500 g floury potatoes, cleaned",500,g,floury potatoes,cleaned
2 onions,2,,onions,
600 ml beef stock,600,ml,beef stock,
2 sprigs fresh thyme,2,sprigs,fresh thyme,
1 bay leaf,1,,bay leaf,
2 carrots,2,,carrots,
"250 g swede, optional",250,g,swede,optional
Salt and pepper,,,Salt and pepper,
"Worcestershire sauce, to taste",,,Worcestershire sauce,to taste
1 tsp olive oil,1,tsp,olive oil,
"2 onions, finely sliced",2,,onions,finely sliced
"3 carrots, grated",3,,carrots,grated
2 tsp cumin seeds,2,tsp,cumin seeds,
2 tbsp harissa paste,2,tbsp,harissa paste,
200 g bulghar wheat,200,g,bulghar wheat,
"6 dried apricots, chopped",6,,dried apricots,chopped
700 ml weak chicken stock (use 1 stock cube),700,ml,weak chicken stock (use 1 stock cube),
200 g baby spinach,200,g,baby spinach,
4 firm skinless white fish fillets,4,,firm skinless white fish fillets,
4 thin slices lemon,4,thin slices,lemon,
1 tbsp olive oil,1,tbsp,olive oil,
6 pork sausages,6,,pork sausages,
1 tsp chilli flakes,1,tsp,chilli flakes,
1 tsp fennel seeds (optional),1,tsp,fennel seeds (optional),
500 g fresh gnocchi,500,g,fresh gnocchi,
500 ml chicken stock (fresh if you can get it),500,ml,chicken stock (fresh if you can get it),
100 g chopped kale,100,g,chopped kale,
"40 g parmesan, finely grated",40,g,parmesan,finely grated
1 red bell pepper,1,,red bell pepper,
1 zucchini,1,,zucchini,
1 yellow squash,1,,yellow squash,
0.5 red onion,0.5,,red onion,
"600 g boneless, skinless chicken breast",600,g,"boneless, skinless chicken breast",
2 tbsp cooking oil,2,tbsp,cooking oil,
1 cup frozen green beans,1,cup,frozen green beans,
0.333 cup pesto,0.333,cup,pesto,
0.125 tsp salt,0.125,tsp,salt,
0.125 tsp freshly cracked pepper,0.125,tsp,freshly cracked pepper,
1 tbsp grated Parmesan,1,tbsp,grated Parmesan,
700 ml semi-skimmed milk,700,ml,semi-skimmed milk,
3 sprigs thyme,3,sprigs,thyme,
1 tsp smoked paprika,1,tsp,smoked paprika,
"2x 250 g pack skinless cod, cut into large chunks",2x,250 g pack,skinless cod,cut into large chunks
1x 180 g pack raw peeled king prawns,1x,180 g pack,raw peeled king prawns,
2 tbsp olive oil,2,tbsp,olive oil,
1x 150 g pack diced chorizo,1x,150 g pack,diced chorizo,
"2 onions, finely chopped",2,,onions,finely chopped
60 g plain flour,60,g,plain flour,
2 tbsp butter,2,tbsp,butter,
pinch of saffron,,pinch,of saffron,
"800 g Maris Piper or King Edward potatoes, peeled",800,g,Maris Piper or King Edward potatoes,peeled
400 g gluten free self raising flour,400,g,gluten free self raising flour,
0.25 tsp xanthan gum,0.25,tsp,xanthan gum,
400 g dairy free spread (butter at room temperature works if you don't need to be dairy free),400,g,dairy free spread (butter at room temperature works if you don't need to be dairy free),
350 g caster sugar,350,g,caster sugar,
2 tsp vanilla extract,2,tsp,vanilla extract,
6 eggs,6,,eggs,
400 g icing sugar,400,g,icing sugar,
1 tsp vanilla extract,1,tsp,vanilla extract,
a few tbsp water,,,a few tbsp water,
colour strands decorations,,,colour strands decorations,
1 tbsp olive oil,1,tbsp,olive oil,
400 g lean minced pork,400,g,lean minced pork,
"1 onion, finely chopped",1,,onion,finely chopped
"2 sticks celery, finely chopped",2,sticks,celery,finely chopped
1 tsp dried rosemary,1,tsp,dried rosemary,
150 ml white wine,150,ml,white wine,
425 ml chicken stock,425,ml,chicken stock,
2 tbsp tomato puree,2,tbsp,tomato puree,
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
"1 tsp cornflour, mixed to a paste with a little cold water",1,tsp,cornflour,mixed to a paste with a little cold water
2x 250 g cartons quark,2x,250 g cartons,quark,
250 ml skimmed milk,250,ml,skimmed milk,
freshly ground nutmeg,,,freshly ground nutmeg,
10 dried,10,,dried,
15 g freshly grated parmesan cheese,15,g,freshly grated parmesan cheese,
"2 boneless chicken breasts, skin on",2,,boneless chicken breasts,skin on
1 tbsp olive oil,1,tbsp,olive oil,
"200 g baby new potatoes, scrubbed and thinly sliced",200,g,baby new potatoes,scrubbed and thinly sliced
500 ml chicken stock,500,ml,chicken stock,
"200 g pack mixed spring vegetables (broccoli, peas, broad beans and sliced courgette)",200,g,"pack mixed spring vegetables (broccoli, peas, broad beans and sliced courgette)",
2 tbsp creme fraiche,2,tbsp,creme fraiche,
"handful tarragon leaves, roughly chopped or 0.5 tsp dried tarragon",,handful,tarragon leaves,roughly chopped or 0.5 tsp dried tarragon
1 tbsp olive oil,1,tbsp,olive oil,
"250 g lean lamb fillet, trimmed of fat and thinly sliced",250,g,lean lamb fillet,trimmed of fat and thinly sliced
"140 g shallots, halved",140,g,shallots,halved
"2 large courgettes, cut into chunks",2,large,courgettes,cut into chunks
0.5 tsp ground cumin,0.5,tsp,ground cumin,
0.5 tsp paprika,0.5,tsp,paprika,
0.5 tsp ground coriander,0.5,tsp,ground coriander,
"3 peppers (1 red, 1 orange 1 green), deseeded and cut into chunks",3,,"peppers (1 red, 1 orange  1 green)",deseeded and cut into chunks
"1 clove garlic, sliced",1,clove,garlic,sliced
150 ml vegetable stock,150,ml,vegetable stock,
250 g cherry tomatoes,250,g,cherry tomatoes,
freshly chopped coriander leaves,,,freshly chopped coriander leaves,
"285 g dry whole wheat macaroni, gluten free if desired",285,g,dry whole wheat macaroni,gluten free if desired
1 tbsp vegetable oil,1,tbsp,vegetable oil,
"1 onion, diced",1,,onion,diced
"2 cloves garlic, minced",2,cloves,garlic,minced
400 g diced tomatoes,400,g,diced tomatoes,
2 tbsp tomato paste,2,tbsp,tomato paste,
1 vegetable bouillon cube,1,,vegetable bouillon cube,
1 tsp hot chilli powder,1,tsp,hot chilli powder,
1 tsp paprika powder,1,tsp,paprika powder,
1 tsp salt,1,tsp,salt,
0.5 tsp freshly ground black pepper,0.5,tsp,freshly ground black pepper,
200 g soy veggie ground,200,g,soy veggie ground,
"2 medium carrots, diced",2,medium,carrots,diced
"1 red bell pepper, seeded and diced",1,,red bell pepper,seeded and diced
"310 g kidney beans, rinsed",310,g,kidney beans,rinsed
100 g fresh spinach,100,g,fresh spinach,
350 g young spinach leaves,350,g,young spinach leaves,
1 tbsp butter,1,tbsp,butter,
2 cloves garlic,2,cloves,garlic,
4 pizza bases,4,,pizza bases,
1-2 tbsp olive oil,1-2,tbsp,olive oil,
650 g tomato sauce,650,g,tomato sauce,
"150 g mozzarella cheese, drained and thinly sliced",150,g,mozzarella cheese,drained and thinly sliced
4 small eggs,4,small,eggs,
"50 g fontina or Gruyere cheese, finely grated",50,g,fontina or Gruyere cheese,finely grated
sea salt and freshly ground black pepper,,,sea salt and freshly ground black pepper,
70 g fine Chinese style dried egg noodles or use straight wok noodles,70,g,fine Chinese style dried egg noodles or use straight wok noodles,
125 ml chicken stock,125,ml,chicken stock,
1.5 tsp dark soy sauce,1.5,tsp,dark soy sauce,
25 g frozen peas,25,g,frozen peas,
35 g drained canned or frozen sweetcorn,35,g,drained canned or frozen sweetcorn,
"50 g cooked chicken, shredded",50,g,cooked chicken,shredded
0.5 tsp cornflour,0.5,tsp,cornflour,
1 tbsp olive oil,1,tbsp,olive oil,
50 g Thai curry paste (green or red),50,g,Thai curry paste (green or red),
"750 g mixed root vegetables (such as carrot, swede, turnip), peeled and chopped",750,g,"mixed root vegetables (such as carrot, swede, turnip)",peeled and chopped
